Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Outage Hour,Area Affected,NERC Region,Alert Criteria,Event Type,Event Category,Demand Loss (MW),Number of Customers Affected,,
09/20/2023,0.528472222,09/20/2023,0.975694444,11,+6,Oklahoma:,MRO,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency",- Unknown,Other,51,Unknown,,
09/16/2023,0.040972222,09/16/2023,0.415972222,9,+6,New York: Suffolk County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
09/15/2023,0.6875,09/15/2023,0.708333333,1,3,Illinois: Grundy County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
09/16/2023,0.440972222,09/17/2023,0.041666667,39,+6,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Natural Disaster,Unknown,75000,,
09/13/2023,0.385416667,09/13/2023,0.761111111,9,+6,Texas: Hidalgo County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack,Human Attack,0,0,,
09/08/2023,0.988888889,09/10/2023,0.791666667,68,+6,"Texas: Tarrant County, Dallas County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Natural Disaster,Unknown,190000,,
09/08/2023,0.270833333,09/08/2023,0.375,3,3,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
09/08/2023,0.754166667,09/08/2023,0.785416667,0,3,Massachusetts: Essex County[13];,NPCC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,- Other,Other,0,0,,
09/08/2023,0.635416667,09/09/2023,0.920138889,55,+6,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Natural Disaster,Unknown,114000,,
09/09/2023,0.438194444,09/09/2023,0.452083333,0,3,New York: Queens County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
09/07/2023,0.541666667,09/07/2023,0.552083333,0,3,Texas: Fayette County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
09/08/2023,0.270833333,09/08/2023,0.375,3,3,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
09/07/2023,0.447916667,09/07/2023,0.875,11,+6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,- Weather or natural disaster - Other,Natural Disaster,Unknown,Unknown,,
09/06/2023,0.6875,09/06/2023,0.875,5,6,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,- Weather or natural disaster - Other,Natural Disaster,Unknown,Unknown,,
09/06/2023,0,Unknown ,Unknown ,#VALUE!,#VALUE!,Michigan: Gratiot County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Weather or natural disaster - Other,Natural Disaster,Unknown,0,,
09/05/2023,0.068055556,09/05/2023,0.235416667,4,6,Maine: Kennebec County;,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,Other,0,0,,
10/03/2023,0.038194444,10/03/2023,0.050694444,1,3,Missouri: St. Louis County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft - Suspicious activity,Suspicious Activity,Unknown,Unknown,,
10/03/2023,0.666666667,10/03/2023,0.784722222,2,3,North Carolina: South Carolina:,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,Unknown,Unknown,,
10/03/2023,0.988888889,10/04/2023,0.014583333,25,+6,Pennsylvania:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Unknown,Other,0,0,,
10/04/2023,0.917361111,10/06/2023,0.177083333,54,+6,Texas:,RE,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Natural Disaster,Unknown,153000,,
10/05/2023,0.776388889,10/05/2023,0.793055556,1,3,"Texas: New Mexico: Lea County, Eddy County;","RE,WECC","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,Other,0,0,,
10/06/2023,0.1125,10/06/2023,0.134027778,1,3,Texas: Cameron County;,RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
10/07/2023,0.336111111,10/08/2023,0.105555556,42,+6,New Jersey:,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Suspicious activity,Suspicious Activity,0,0,,
10/07/2023,0.586111111,Unknown ,Unknown ,#VALUE!,#VALUE!,California: Contra Costa County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,Human Attack,0,0,,
10/07/2023,0.367361111,10/08/2023,0.105555556,42,+6,New Jersey: Essex County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Suspicious activity,Suspicious Activity,Unknown,Unknown,,
10/12/2023,0.609027778,10/12/2023,0.650694444,1,3,Pennsylvania: Armstrong County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,Unknown,Unknown,,
10/12/2023,0.5125,10/12/2023,0.513194444,0,3,Texas: Travis County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack - Other,Human Attack,0,0,,
10/12/2023,0.609027778,10/12/2023,0.650694444,1,3,Pennsylvania: Armstrong County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,Unknown,Unknown,,
10/14/2023,0.298611111,Unknown ,Unknown ,#VALUE!,#VALUE!,California: Alameda County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Unknown - Vandalism,Human Attack,Unknown,Unknown,,
10/14/2023,0.532638889,10/16/2023,0.404861111,69,+6,"North Dakota: Mountrail County, Williams County;",MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,Human Attack,0,0,,
10/15/2023,0.302777778,10/15/2023,0.536111111,5,6,California: Sacramento County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,Other,72,6,,
10/18/2023,0.443055556,10/19/2023,0.75,56,+6,Florida: Hillsborough County;,SERC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,- Unknown,Other,0,0,,
10/19/2023,0.4375,10/19/2023,0.452777778,0,3,Texas: Lamb County; New Mexico:,RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,Other,0,0,,
10/19/2023,0.465277778,Unknown ,Unknown ,#VALUE!,#VALUE!,Minnesota: Goodhue County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Unknown,Other,0,0,,
10/19/2023,0.402777778,10/19/2023,0.40625,0,3,Pennsylvania: Greene County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
10/21/2023,0.336111111,10/21/2023,0.336805556,0,3,California: San Joaquin County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
10/22/2023,0.090277778,10/23/2023,0.708333333,63,+6,Texas: Jasper County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Physical attack - Vandalism - Theft - Suspicious activity,Suspicious Activity,0,0,,
10/25/2023,0.985416667,10/29/2023,0.799305556,116,+6,Oklahoma: Texas County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack - Generator loss or failure,Human Attack,0,0,,
10/26/2023,0.472916667,10/26/2023,0.473611111,0,3,Texas: Orange County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,Equipment Failure,Unknown,26,,
10/26/2023,0.420138889,10/26/2023,0.430555556,0,3,Illinois: Cook County;,RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
10/26/2023,0.528472222,10/26/2023,0.584027778,2,3,Oregon: Jefferson County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,Other,140,0,,
10/26/2023,0.420138889,10/26/2023,0.430555556,0,3,Illinois: Cook County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
10/29/2023,0.166666667,10/30/2023,0.666666667,60,+6,Nevada:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
45231,0.609027778,Unknown,Unknown,#VALUE!,#VALUE!,Texas: Cameron County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack,Human Attack,0,0,,
11/02/2023,0.833333333,11/02/2023,0.8375,0,3,South Carolina: Oconee County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
11/02/2023,0.465277778,11/02/2023,0.472222222,0,3,Oregon: Washington: Idaho: Bannock County; Utah: Wyoming:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Theft,Human Attack,0,0,,
11/06/2023,0.666666667,11/06/2023,0.708333333,1,3,Arkansas:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Suspicious activity,Suspicious Activity,0,0,,
11/09/2023,0.565972222,45239,0.607638889,1,3,Oklahoma: Louisiana: Texas:,MRO/SERC/RE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,- Other,Other,0,0,,
11/09/2023,0.125,11/09/2023,0.135416667,0,3,California: Fresno County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Vandalism - Theft,Human Attack,0,0,,
11/10/2023,0.756944444,11/10/2023,0.831944444,1,3,Maryland: Baltimore County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Suspicious activity,Suspicious Activity,0,0,,
11/10/2023,0.756944444,11/10/2023,0.831944444,1,3,Pennsylvania: Montgomery County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
11/10/2023,0.333333333,11/10/2023,0.334027778,0,3,Nevada:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Vandalism - Theft - Suspicious activity,Suspicious Activity,0,0,,
11/11/2023,0.03125,11/11/2023,0.049305556,1,3,Utah: Salt Lake County; California: Oregon:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Vandalism,Human Attack,0,0,,
11/12/2023,0.28125,11/12/2023,0.374305556,2,3,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Other,Other,0,0,,
11/13/2023,0.677777778,11/13/2023,0.691666667,0,3,North Dakota: Burleigh County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,Other,0,0,,
11/15/2023,0.833333333,11/16/2023,0.854166667,48,+6,California: Imperial County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,- Fuel supply emergency,Fuel Deficiency,0,0,,
11/16/2023,0.1375,Unknown,Unknown,#VALUE!,#VALUE!,"Florida: Miami-Dade County, Broward County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Natural Disaster,0,0,,
11/17/2023,0.071527778,11/17/2023,0.147916667,2,3,California: Contra Costa County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Other,Other,0,0,,
11/17/2023,0.6875,45247,16:41,0,3,Texas: Cameron County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Unknown,Other,0,0,,
11/17/2023,0.171527778,11/17/2023,0.18125,0,3,Colorado: Douglas County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,Other,0,0,,
11/19/2023,0.19375,Unknown,Unknown,#VALUE!,#VALUE!,California: San Joaquin County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
11/19/2023,0.583333333,11/19/2023,0.590277778,0,3,Illinois: Grundy County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
11/19/2023,0.125,11/19/2023,0.145833333,0,3,New Jersey: Gloucester County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Theft,Human Attack,0,0,,
11/20/2023,0,45250,0.083333333,2,3,Nevada:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Theft - Suspicious activity,Suspicious Activity,0,0,,
11/21/2023,0.395138889,11/21/2023,0.395833333,0,3,California: San Joaquin County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Theft,Human Attack,0,0,,
11/25/2023,0.430555556,Unknown,Unknown,#VALUE!,#VALUE!,California: San Bernardino County;,WECC,Cyber event that is not a Reportable Cyber Security Incident that causes interruptions of electrical system operations.,- Unknown,Other,0,0,,
11/26/2023,0.041666667,11/26/2023,0.083333333,1,3,California: Sutter County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Theft - Other,Other,0,0,,
11/27/2023,0.25,11/27/2023,0.541666667,7,+6,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Natural Disaster,0,0,,
11/27/2023,0.495138889,11/27/2023,0.578472222,2,3,Colorado:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,Other,0,0,,
11/29/2023,0.375,Unknown,Unknown,#VALUE!,#VALUE!,Texas: Callahan County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack - Vandalism - Suspicious activity,Suspicious Activity,0,0,,
45261,0.436111111,45261,0.436805556,0,3,Pacificorp,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,Human Attack,0,0,,
45262,0.421527778,45262,0.444444444,0,3,Tampa Electric Company,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,Other,0,0,,
45263,0.185416667,- Unknown,- Unknown,#VALUE!,#VALUE!,Pacific Gas & Electric Co,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,Human Attack,0,0,,
45263,0.185416667,45267,0.75,134,+6,Pacific Gas and Electric,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,Human Attack,0,0,,
45264,0,- Unknown,- Unknown,#VALUE!,#VALUE!,Tucson Electric Power,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,Human Attack,0,0,,
45264,0.432638889,45264,0.573611111,3,3,Seminole Electric Cooperative Inc,SERC,Cyber Security Incident that was an attempt to compromise a High or Medium Impact Bulk Electric System Cyber System or their associated Electronic Access Control or Monitoring Systems,- Cyber event (information technology),Human Attack,0,0,,
45265,0.965972222,45266,0.008333333,25,+6,GenOn Energy – New Castle Power LLC,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility",- Vandalism - Theft,Human Attack,0,0,,
45267,0.411111111,45267,0.411805556,0,3,Orsted Americas,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Suspicious activity,Suspicious Activity,0,0,,
45267,0.436805556,45267,0.545138889,3,3,New York State Electric & Gas,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,Other,0,0,,
45269,0.463888889,45269,0.466666667,0,3,"WEC Energy Group (WEPCO, WPSC, UMERC, WEP-MIUP)",MRO/RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
45271,0,45271,0.5,12,+6,Apex Generating Station,WECC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",- Vandalism - Theft - Suspicious activity - Other,Suspicious Activity,0,0,,
45271,0.586111111,45272,0.607638889,48,+6,Bonneville Power Administration,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
45271,0.586111111,45272,0.607638889,48,+6,Bonneville Power Administration,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
45272,0.513888889,45272,0.514583333,0,3,Austin Energy,Texas RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Other,Other,0,0,,
45272,0.395833333,45273,0.209722222,44,+6,Oncor Electric Delivery Company LLC,Texas RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
45272,0.513888889,45272,1/0/1900,#VALUE!,#VALUE!,Austin Energy,Texas RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Other,Other,0,0,,
45274,0.447916667,45274,0.4625,1,3,Western Area Power Administration - Upper Great Plains Region - (NCR01036),WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Unknown,Other,20,1,,
45274,0.995833333,- Unknown,- Unknown,#VALUE!,#VALUE!,"Consolidated Edison of New York, Inc.",MPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Failure at high voltage substation or switchyard,Equipment Failure,0,0,,
45275,0.531944444,45275,0.666666667,4,6,Consumers Energy Co,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Physical attack - Vandalism - Suspicious activity,Suspicious Activity,Unknown,Unknown,,
45275,0.531944444,45275,0.666666667,4,6,Consumers Energy Co,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Physical attack - Vandalism - Suspicious activity,Suspicious Activity,Unknown,Unknown,,
45275,0.578472222,45275,0.595138889,1,3,LUMA Energy,N/A,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,Generation Inadequacy,120,126197,,
45276,0.086805556,45276,0.103472222,0,3,LUMA Energy,N/A,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,- Generator loss or failure,Generation Inadequacy,Unknown,Unknown,,
45276,0.086805556,45276,0.103472222,0,3,LUMA Energy,N/A,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,- Generator loss or failure,Generation Inadequacy,220,230330,,
45277,0.448611111,45277,0.45625,0,3,LUMA Energy,N/A,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,Generation Inadequacy,126,Unknown,,
45277,0.448611111,45277,0.45625,0,3,LUMA Energy,N/A,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,Generation Inadequacy,80,127585,,
45278,0.549305556,45278,0.557638889,0,3,LUMA Energy,N/A,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,Generation Inadequacy,115,170316,,
45278,0.239583333,- Unknown,- Unknown,#VALUE!,#VALUE!,ISO New England,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Natural Disaster,Unknown,730000,,
45278,0.454861111,45278,0.486805556,1,3,First Energy Solutions Corp.,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,Other,0,0,,
45279,0.028472222,45279,0.032638889,0,3,LUMA Energy,N/A,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,Generation Inadequacy,77,50204,,
45282,0.579861111,45282,0.614583333,1,3,NV Energy,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Unknown,Other,0,0,,
45283,0.029861111,45283,0.033333333,0,3,LUMA Energy,N/A,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,Generation Inadequacy,65,37850,,
45284,0.088194444,45284,0.56875,11,+6,Seminole Electric Cooperative Inc,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,Human Attack,0,0,,
45285,0.830555556,45285,0.834027778,1,3,LUMA Energy,N/A,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,Generation Inadequacy,105,36100,,
45285,0.357638889,45285,0.625,7,+6,"Consolidated Edison of New York, Inc.",NPCC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more,- Other,Other,0,0,,
45287,0.613888889,45288,0.176388889,38,+6,Otter Tail Power Co,MRO,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,- Weather or natural disaster,Natural Disaster,14,8000,,
45287,0.465972222,45287,0.466666667,0,3,Pacificorp,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Suspicious activity - Transmission equipment failure,Suspicious Activity,0,0,,
45290,0.875,45290,0.927083333,1,3,American Electric Power (Regulated Generation),RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,Unknown,Unknown,,
45290,0.208333333,45290,0.283333333,1,3,Lower Colorado River Authority,Texas RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Suspicious Activity,0,0,,
01/01/2021,0.294444444,01/01/2021,0.295138889,0,3,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,Human Attack,0,0,,
01/02/2021,0.436111111,01/02/2021,0.436805556,0,3,California: Butte County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,Equipment Failure,8,5803,,
01/04/2021,0.440277778,01/04/2021,0.450694444,0,3,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,6,3825,,
01/08/2021,0.059722222,01/08/2021,0.114583333,1,3,Arkansas: Prairie County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Sabotage,Human Attack,Unknown,1908,,
01/10/2021,0.947222222,01/13/2021,0.666666667,90,+6,"Texas: Anderson County, Angelina County, Dallas County, Freestone County, Henderson County, Houston County, Leon County, Nacogdoches County, Smith County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disaster,Unknown,188000,,
01/11/2021,0.208333333,01/11/2021,0.598611111,9,+6,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Natural Disaster,Unknown,58000,,
01/12/2021,0.993055556,01/15/2021,0.541666667,86,+6,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,Natural Disaster,100,320000,,
01/12/2021,0.865277778,01/13/2021,0.666666667,44,+6,"Oregon: Clackamas County, Multnomah County, Washington County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disaster,Unknown,94231,,
01/12/2021,0.992361111,01/14/2021,0.583333333,63,+6,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Natural Disaster,150,70000,,
01/12/2021,0.854166667,Unknown,Unknown,#VALUE!,#VALUE!,Washington: Snohomish County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Natural Disaster,200,62000,,
01/13/2021,0.154861111,01/13/2021,0.666666667,13,+6,Washington: Idaho:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disaster,185,70417,,
01/13/2021,0.545138889,01/13/2021,0.545833333,0,3,Georgia: Houston County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0,,
01/15/2021,0.741666667,01/15/2021,0.788194444,1,3,Missouri:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
01/18/2021,0.588194444,01/18/2021,0.6125,0,3,Connecticut:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
01/19/2021,0.396527778,01/21/2021,0.608333333,77,+6,"California: Kern County, Los Angeles County, Riverside County, San Bernardino County, Ventura County, Orange County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disaster,Unknown,173746,,
01/19/2021,0.116666667,01/20/2021,0.486805556,57,+6,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Natural Disaster,411,124888,,
01/21/2021,0,02/03/2021,0.704861111,352,+6,Texas: Louisiana: Arkansas: Pulaski County; Mississippi:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0,,
