,1,1,1,2,2,2,3,3,3,4,4,4
,1,2,3,1,2,3,1,2,3,1,2,3
0,600.0,318.0,-0.0,600.0,299.0,-0.0,600.0,797.0,-0.0,600.0,1190.0,-0.0
