,probs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,0.241730337,26.608461,26.170263,26.542915,25.50234,26.22558,26.080315,25.553923,25.508564,24.897669,24.183685,24.673168,24.932468,25.832926,25.900463,25.966213,26.457996,27.184666,25.942802,28.124716,28.941956,29.909323,31.945969,33.77756,38.816414,42.20476,39.242256,36.714867,32.70235,33.586395,34.01152,36.302895,36.143497,33.89866,38.056004,37.132835,39.45453,48.091377,46.510513,59.00397,61.014038,54.289642,63.302277,60.271214,66.42789,63.813934,65.66147,71.117935,75.86695,77.75193,76.33416,76.71042,75.44802,76.09766,76.330734,70.975204,71.83996,67.37324,68.4537,69.13577,69.6197,66.95442,65.22502,61.472282,63.971104,64.54717,62.28458,56.081577,52.634686,52.541893,53.563217,50.240993,47.055824,43.206318,37.44949,34.545544,29.587303,31.231176,29.49483,29.321545,33.719955,32.908264,39.5517,37.25402,37.28403,31.822914,33.268112,30.318583,30.473763,30.252361,29.040226,28.01896,28.64238,27.311628,27.660444,28.317257,27.707615
1,0.382924923,26.214132,25.70517,25.885256,25.054474,26.014706,25.851465,25.746279,25.5382,24.895266,24.629778,24.835897,24.973692,25.917717,26.28622,25.90551,26.7737,27.64097,26.370382,28.44401,29.385609,30.806213,31.77551,33.78335,38.585247,40.703117,38.691364,34.718716,33.56364,34.27785,34.449497,36.767334,36.64296,34.1297,38.60718,35.99901,39.85828,47.313313,46.833984,57.822628,59.77098,55.13537,62.581528,59.798885,67.27434,68.644,72.74082,74.66972,74.7833,76.319145,75.95167,77.34608,77.16227,76.393074,76.53774,70.47266,71.06173,68.48532,68.823875,67.19308,68.44941,64.928825,64.53126,61.256855,64.296616,63.07278,60.12464,53.08684,51.00359,52.483402,53.829735,51.85236,48.137306,43.430817,38.360332,36.483303,30.304169,31.454388,30.372107,29.02414,30.8268,33.46042,40.147243,37.857395,37.30164,30.942438,32.46428,30.447016,31.067627,30.774572,29.773808,27.92848,28.520483,27.924324,27.657875,28.579987,27.411526
2,0.241730337,27.705065,26.578287,25.860289,25.609419,25.875235,26.082344,26.219982,25.564377,24.964123,24.887646,24.980103,25.232204,25.423237,26.555136,25.460905,26.508102,27.972225,25.235392,28.777958,27.806623,30.119617,31.605047,33.07211,37.639908,39.958412,39.222385,35.33489,32.59225,34.112885,33.873257,36.545586,37.253647,34.10847,39.136562,41.91035,41.252983,50.110725,46.5558,54.724895,55.0529,60.236195,63.218716,59.972107,62.40162,62.372944,68.12475,68.88565,69.84131,72.19183,67.135216,72.34108,70.8747,73.79207,70.67192,67.78424,65.042435,65.71612,64.02665,64.30573,69.46681,65.82098,68.624,61.679623,67.618774,67.87596,64.659615,53.21642,47.652336,53.496914,54.098602,54.435043,49.340702,43.739513,37.643272,35.6975,31.97635,30.805532,28.934896,28.388227,27.802553,31.344126,39.859085,37.519543,37.892765,31.558395,30.997616,30.86413,31.07591,31.003801,30.1836,27.844995,28.327631,28.142748,27.032915,28.459978,27.597769
3,0.241730337,25.987757,25.356373,25.779274,24.982939,25.402433,25.02536,25.199945,24.74696,24.867498,24.643026,25.100094,25.360626,25.204557,25.40822,25.13311,26.694078,27.700115,26.173162,28.748856,28.614264,29.16621,32.197098,34.830284,39.944202,43.116898,46.213326,36.12056,36.256416,30.037022,32.72198,35.7187,36.629368,39.631218,40.123055,44.80733,42.1275,49.54166,44.677044,50.854164,53.92234,55.716763,61.496925,61.698814,69.94972,67.521515,67.49264,67.92791,66.86504,69.86097,67.757195,71.237236,71.65843,73.94979,72.69674,73.963905,76.17328,79.39299,77.919556,77.685425,77.30104,75.90658,77.161285,71.25478,72.175156,69.75862,58.498493,53.507904,56.336487,52.730877,48.344063,51.029835,47.36032,43.944824,38.703735,36.34997,33.12559,30.866398,29.520752,27.406786,24.66223,33.32315,38.53897,39.95381,39.50243,31.538343,29.84884,30.515043,29.60358,30.502829,30.345133,28.200602,28.433647,27.631073,27.263527,28.196484,27.245596
4,0.241730337,26.335758,25.629217,25.480713,24.814459,25.44415,25.387619,25.707493,25.261663,25.000658,24.687151,24.990166,24.953878,25.646555,25.575647,25.891733,26.56434,27.935453,25.987543,28.638315,28.808596,29.912117,31.899302,33.70045,38.042072,39.95753,39.9394,36.570637,34.282253,33.49524,34.689835,37.005287,37.35604,38.56154,39.867706,40.666447,42.48704,47.534622,46.134296,51.776352,53.16904,53.898697,57.089962,57.214836,63.95375,63.731995,66.14397,66.20814,65.62503,68.02858,67.410255,70.183586,70.01381,70.00814,69.22823,67.93321,69.546776,70.3602,70.991234,70.333336,70.81601,68.46016,68.33201,64.63896,65.822075,65.21824,57.681225,52.11802,50.97015,50.984966,49.642082,50.353664,47.513832,43.5897,39.292088,38.46898,34.05429,31.768108,30.734327,28.12758,25.212362,33.921223,39.28454,38.668114,38.482975,31.677292,30.708103,30.650568,30.12399,30.364014,29.743734,28.246994,28.823755,27.961006,27.485672,28.744328,27.765236
5,0.241730337,26.280827,25.602793,25.707335,25.144909,25.483086,26.327105,25.927153,25.62203,25.470509,24.662048,25.324982,25.351974,25.667406,25.884022,25.573586,26.888811,27.60648,26.246784,28.597137,28.661356,29.749454,32.36379,34.43852,38.86744,42.41685,40.45949,37.74326,34.013474,33.10206,33.850956,36.57532,37.847664,36.90588,39.849987,38.65965,42.38151,49.481873,44.507477,54.533127,52.357777,52.41647,56.78332,57.22165,64.609474,63.460968,66.64301,67.266975,67.75838,69.482635,67.86234,71.23089,70.74337,72.08054,71.61182,71.68368,73.90669,72.46981,73.26219,72.032104,71.89303,72.072655,68.89481,66.25029,65.76786,65.18836,60.975094,57.0368,54.999306,50.101284,48.441547,49.814373,48.226173,43.759697,40.68699,37.464775,32.134357,32.077057,29.32851,29.63927,32.78001,33.889378,40.22166,37.64488,37.506977,31.389677,32.409996,31.044907,30.473581,30.846601,29.729443,27.887407,28.656301,27.302877,27.376682,28.487669,28.150843
6,0.382924923,26.330193,25.635649,25.947731,25.325947,25.13513,25.94875,26.063684,25.397919,25.234308,24.641567,25.376595,24.590364,25.60694,26.137054,24.675875,26.77646,27.491968,25.715216,28.466768,28.643293,30.32986,31.831339,32.49602,36.321003,39.150513,38.048878,33.811527,34.85281,33.824287,34.006268,36.097866,35.876236,34.89616,38.483894,37.29956,40.330177,46.996872,45.593536,53.20206,53.981647,56.634212,59.562176,57.294548,61.668217,59.89316,65.535255,68.57597,67.55141,69.47788,68.25228,71.199196,68.97353,68.811966,74.76994,77.86712,78.90608,78.36966,74.6914,73.975845,71.50771,64.425255,61.066013,58.10129,65.40977,65.70395,58.921276,51.241055,47.67961,47.462406,48.013535,50.29014,50.00136,44.80776,41.76228,37.096714,29.449389,32.54895,30.156279,30.844555,40.854603,31.909634,40.41257,36.72629,36.965,31.279903,33.53317,31.424128,30.48026,30.533722,29.89895,27.148188,28.359833,27.6098,26.909298,28.23041,27.77572
7,0.060597536,26.418365,26.206669,26.432068,25.461636,26.036621,26.08001,26.263422,25.344458,25.231266,24.101458,24.755745,24.58133,25.715082,26.273346,25.219723,26.964354,27.513958,25.856747,28.670229,28.78139,31.1427,31.252478,31.608036,37.835598,38.505264,37.395676,36.258442,32.085266,33.263496,34.966736,36.635586,36.013298,35.826782,39.286263,34.89249,38.132393,47.48845,47.80575,57.77847,63.07902,58.012432,65.07126,61.541206,62.838806,62.697098,69.02394,72.444,75.5593,75.20068,73.19875,76.07202,74.44517,68.91517,71.83705,73.48733,77.137665,74.88982,70.362206,63.621433,61.297943,58.220676,62.072845,62.73328,65.65561,64.775856,59.693043,54.1432,47.99651,49.882618,53.222206,54.188225,53.533367,45.543602,40.75334,34.499935,28.977087,33.94184,31.762173,31.806112,43.995903,30.747963,39.131264,36.076103,36.868343,31.620277,33.80753,31.077501,30.288506,29.97164,29.479677,26.910105,28.896545,25.990852,27.338709,28.70763,27.696308
8,0.382924923,26.224882,25.66169,25.722359,25.042334,25.603937,25.431982,25.526207,24.9495,25.13683,24.376184,25.077433,24.944277,25.693542,26.483727,25.75836,27.9742,27.1883,26.190674,28.272924,28.852798,30.209595,32.35074,33.57632,38.022007,41.197395,41.852222,35.781216,35.611034,32.739655,34.46393,37.551014,37.094624,37.52978,39.954506,36.298164,39.079224,45.854523,42.780052,52.7949,55.031906,56.318695,57.8242,53.35495,57.56398,60.399357,67.10043,67.710556,70.429565,72.20274,70.98762,72.74349,73.82574,71.629166,68.594666,66.38506,70.01135,68.80488,65.616356,59.279182,63.396137,62.213852,64.20823,58.277966,63.495594,61.081734,57.59018,50.52499,53.230797,52.442513,52.833195,52.469498,47.35238,42.833473,40.02418,35.308735,30.197208,31.918608,28.957335,30.578209,38.902775,32.946762,39.931244,37.473747,37.46758,31.73323,31.56752,30.98762,31.16484,31.035574,30.456078,28.947393,28.487421,27.932837,27.41423,28.740538,27.835749
9,0.382924923,26.433273,25.682508,25.511923,25.129793,25.387165,25.650314,25.732115,25.551744,25.362467,24.528507,25.007055,24.533209,25.32277,25.772673,26.013985,26.920322,27.88411,26.225868,28.631577,28.597359,29.191195,32.058174,33.387695,38.10056,40.67718,39.833,34.733204,32.63226,32.961285,34.289013,36.27353,36.788017,35.468254,38.817513,38.40292,40.35836,49.13267,43.818626,54.603752,55.42214,55.113914,58.930298,55.145363,65.088234,62.79088,69.005135,64.84137,65.82185,67.64555,63.61681,67.40219,66.80748,66.58047,66.23763,64.52065,64.85238,63.132607,63.204716,63.67321,70.24968,70.24603,68.36024,65.64608,64.19772,67.35522,59.885254,52.768623,51.679676,52.98844,51.136,52.798508,48.392128,43.154984,38.86206,36.948288,33.0238,31.444529,29.018063,28.058477,25.913618,32.674328,39.82732,37.654686,38.344864,31.168022,30.329428,30.887384,31.154718,31.145054,30.237095,27.956497,28.193789,28.027561,27.362934,29.169361,27.276758
10,0.382924923,26.474735,25.77724,25.578594,25.151564,25.165886,25.42824,25.415112,25.277937,25.437176,24.810682,25.55506,25.377054,25.445656,25.638248,25.50165,26.794659,27.659613,26.045006,28.956882,28.8434,29.631815,31.904968,33.356747,38.175858,41.48303,44.90385,36.761887,36.734737,32.08256,35.31169,38.385784,38.454147,39.18415,41.023243,42.078045,41.574757,50.24341,45.035816,53.58254,53.813595,56.928432,59.645237,58.485447,64.39622,62.485714,65.736015,66.965485,68.61467,70.288,70.588524,72.38407,73.71916,75.19378,75.66731,76.37768,75.479385,73.80181,72.487564,69.04336,70.41242,69.658875,71.78131,66.80591,67.787544,64.91505,58.71085,50.84736,52.579063,51.908646,50.838913,52.80308,48.667507,43.87605,39.30558,36.718674,32.683456,31.406599,29.84152,29.678083,34.54571,32.808277,40.508568,38.230274,37.853333,32.138615,33.04163,31.088776,31.07961,30.562984,30.470278,29.217512,28.485338,28.07853,27.267538,28.55498,27.789356
11,0.241730337,26.412224,25.75112,25.52305,25.045425,25.14314,25.454885,25.632526,25.349344,25.154583,24.583418,25.1162,24.88006,25.43943,25.824429,25.55044,26.974234,27.71796,25.915724,29.052113,28.88919,29.906858,32.068203,33.11866,37.83245,41.279278,42.659084,37.135216,35.459145,33.71356,35.21338,37.96656,37.84013,37.581642,40.14947,38.305107,40.334595,48.426525,45.35794,54.46105,54.133205,56.52074,58.949066,58.745754,62.379288,61.56163,67.930176,65.738785,69.287346,70.679,70.00283,73.06139,73.93664,74.90114,74.52668,73.159935,70.81368,65.80221,64.18838,62.339935,65.57895,67.42033,66.46976,61.161457,63.663055,64.171234,61.527245,51.40938,49.450863,51.031193,51.54947,52.65136,48.381042,43.978287,39.735912,35.77454,32.380325,32.461838,30.216118,30.878267,39.305325,33.076202,40.631195,36.974625,37.41293,31.43982,32.96072,30.832842,30.557808,30.495771,29.650078,28.285238,28.501968,27.338747,27.30298,28.695509,27.825567
12,0.382924923,27.197206,26.146954,25.804049,24.79929,24.217459,25.879961,25.124872,25.26674,24.748983,24.152313,24.610264,24.293642,26.062708,26.607689,25.463684,26.439478,27.186703,25.726627,27.918076,27.912039,28.602188,31.086176,33.365295,38.570747,40.881424,37.636314,36.36923,31.954601,34.639694,32.40016,35.708843,35.960575,31.559313,38.62241,36.335888,42.06475,48.277153,44.22097,54.95344,51.016502,54.725174,55.863995,57.923595,62.22701,63.865147,69.782295,68.834885,69.51736,72.79077,69.94646,75.6026,75.87618,77.31767,76.639786,72.82101,71.80554,68.392555,66.735306,63.389153,61.24742,62.247284,66.348305,62.416714,68.93792,64.91351,58.683178,51.977562,47.810593,50.267975,53.298344,52.848072,50.18387,42.79807,39.59545,33.971333,30.002869,31.432678,27.499569,28.146057,31.107069,31.02651,38.6937,36.446815,36.642952,30.213306,29.922771,30.110144,29.676989,30.70862,29.13582,27.143322,28.080761,26.948908,26.255566,27.770777,27.51334
13,0.060597536,26.004175,25.402927,25.64833,25.066187,25.429222,25.614153,25.430906,25.074835,25.326193,24.451878,25.133377,25.456684,25.459023,25.900547,25.799702,27.696373,28.001677,26.395494,28.88779,28.412312,29.200645,32.15209,33.70102,38.019314,42.4667,42.56156,35.89441,36.006584,31.87405,33.76481,37.345528,36.759567,37.01993,39.572285,38.643284,40.87607,47.80349,44.06134,53.46776,54.64635,56.630466,59.241276,55.380474,60.112633,58.431656,64.436226,68.40197,73.00289,73.02149,71.10259,72.129524,71.67481,75.26507,75.37451,74.99589,75.74117,74.36377,73.03839,69.81979,72.16305,70.22801,70.33112,67.213,67.81709,66.74607,59.72801,52.967457,54.674377,52.5576,52.25122,52.29029,46.95401,42.695015,39.233936,35.54666,31.778236,32.995842,30.04938,31.846548,40.186615,33.040665,40.499207,36.728573,37.19086,32.16916,33.87089,30.883461,30.57541,30.308107,29.777187,28.316637,28.753735,27.310907,27.573647,28.634714,27.984285
14,0.241730337,27.022667,26.403742,26.384287,25.821892,25.663794,26.171537,26.358536,25.644295,25.630043,24.687307,25.421608,25.155842,25.672205,26.102476,25.55437,26.676596,27.905277,25.543425,28.915169,28.756145,30.937185,32.20033,32.671688,38.25383,40.15112,40.40814,38.690887,33.38218,34.782894,34.488987,37.4915,36.793694,35.34194,39.649487,34.91753,38.327393,45.54986,45.20112,54.78698,56.258198,57.023216,58.532436,57.54542,60.611797,62.94,69.398254,68.14744,71.322205,73.200806,70.84398,73.41728,73.02822,72.326965,70.8008,66.34702,68.379,65.0821,61.74653,62.215965,62.563503,64.77852,66.559906,59.27252,65.58283,63.47484,61.26183,52.115738,46.780792,51.415405,53.08982,51.851677,48.09327,42.10245,38.270603,34.245346,31.123316,32.88142,30.559511,30.390976,37.440907,32.47857,39.341835,36.046284,37.70557,31.712029,33.39483,30.965954,30.175182,30.71628,29.637604,28.235153,29.557676,27.104263,27.232197,28.871696,28.13662
