,probs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.060597536,28.204865,28.637892,31.33529,26.658352,25.922905,27.674637,28.474148,29.631016,28.686728,28.500118,27.07457,26.814528,28.374405,27.04227,27.96189,26.716825,28.567852,28.702492,24.704268,27.305809,29.57391,27.267282,28.607033,26.12282,28.256346,33.563847,28.653934,35.17619,35.33102,36.490273,35.28059,48.547127,47.42941,37.77065,41.622112,45.55152,48.23007,49.48296,47.195545,38.544144,39.135803,39.711773,39.847576,42.83963,47.922432,48.910606,47.475468,50.627808,53.88382,54.38656,56.38471,59.213017,60.657883,61.77126,62.20009,62.37774,62.56394,61.63319,62.178875,65.014046,65.20646,62.962906,58.51484,48.84165,39.992847,36.068672,34.302853,33.94965,35.56456,35.142384,33.235943,30.696026,29.966751,33.85763,33.92516,44.519997,51.7474,56.41062,48.05219,38.502842,31.352238,29.901493,31.486565,30.44127,29.813658,30.676376,31.349154,34.309986,32.128036,27.494904,28.555943,26.289692,29.027964,29.837908,29.161148,29.258356,26.862696,29.945993,26.89858,26.333433
1,0.060597536,28.086725,28.986048,32.581036,23.20315,22.198486,26.812193,25.09143,32.892963,28.673914,23.271704,27.056646,25.893278,29.420685,30.315779,28.809189,26.11412,28.744633,25.485653,22.10608,27.406618,25.955894,25.666616,25.907124,25.704416,25.207996,35.37878,31.167402,45.55785,44.855675,39.95751,44.33893,50.097073,51.94059,46.818848,46.187763,51.37999,54.61194,56.62609,46.823162,41.710026,37.98085,29.090408,31.139795,32.46285,38.093082,42.151062,34.701008,34.013515,36.86221,44.883034,52.056396,57.016563,61.27175,63.70267,63.927673,62.879654,61.71865,61.328106,63.592068,65.849686,65.270195,61.499104,52.15366,40.352104,31.803993,29.718504,30.050465,29.736807,31.023664,31.849579,34.00142,34.18094,27.437326,29.562714,36.082336,44.792072,51.994816,56.82546,57.707447,47.1374,31.188133,27.944149,31.343376,32.264812,30.45214,28.999508,25.352234,28.037699,31.72645,26.200424,26.346441,27.025095,26.05903,28.225979,30.69401,30.704475,25.338694,28.443796,21.261538,23.570929
2,0.382924923,27.415354,29.601763,30.981203,27.581266,23.932785,27.593279,26.308596,29.150696,25.620224,24.695444,25.038605,25.165516,26.086897,27.197786,25.772097,24.417757,24.037336,25.48425,25.085882,29.71191,25.842348,25.46738,25.814829,27.562992,28.555405,25.357061,25.546787,27.028463,32.581642,31.03874,31.289011,43.257908,39.298847,26.56052,40.105904,44.82243,54.203953,47.391083,53.477486,48.41333,40.03736,31.998926,28.699034,28.464405,29.715176,29.303957,31.471363,31.11344,30.922781,37.767014,51.557644,57.96267,61.629173,63.70519,65.222664,65.78158,65.69533,65.344894,62.0225,61.918877,63.94528,66.36918,60.841427,45.409546,35.386597,27.838531,25.961838,28.926474,31.419785,30.56255,30.195553,30.866957,27.417519,27.886633,32.268566,38.66501,36.42035,50.569614,51.419685,41.065685,36.034073,29.447042,33.208366,33.03707,28.581503,28.040949,27.200994,27.256588,26.722624,27.443449,26.354916,26.080954,28.52175,27.091486,26.697603,28.818428,23.995398,27.786963,22.880358,22.805088
3,0.382924923,27.079979,26.915129,28.80839,24.710312,21.962465,26.614887,27.959356,30.995958,26.113766,24.552914,24.191034,23.17178,29.355955,26.437357,25.867176,23.419844,29.40036,30.831982,20.860146,25.875996,28.673443,25.402683,27.124323,22.940636,25.833755,31.643185,30.250156,33.40945,45.236103,43.13894,39.836758,48.40828,44.25572,28.330215,33.732224,42.101482,49.959755,44.49846,46.753426,39.633366,35.792057,38.65042,37.558807,39.16063,47.428577,53.476265,53.36495,63.70581,66.06933,65.54372,66.65337,67.214806,67.19859,67.06304,67.1216,67.214745,67.22187,67.00214,66.39285,65.56043,62.453575,59.28912,55.368618,44.774857,37.786617,33.203648,30.571112,31.69041,33.262318,30.206062,29.73605,30.2301,28.514238,31.470749,36.803043,47.64129,55.96552,59.30494,60.478756,47.35842,32.034813,29.538128,30.664309,28.546583,28.257198,30.414389,33.770435,35.329388,31.823648,24.88876,23.447529,25.372442,27.822561,32.33881,31.942926,27.449518,26.968693,36.927174,23.670345,20.530846
4,0.382924923,27.522354,26.717342,30.989862,25.94944,26.71391,26.533367,29.209297,29.541468,27.15515,26.353092,27.414564,27.581598,28.019972,28.254377,26.56615,26.449474,27.223072,28.41608,24.741077,25.276617,28.50298,25.373064,24.89095,26.957275,26.748043,26.95976,28.99661,32.06019,32.921917,32.04692,29.075134,33.547653,34.471855,33.437725,39.479652,44.472095,46.364143,44.81946,36.019913,34.699875,36.80167,43.098984,45.41226,49.81698,57.2056,61.235416,59.232555,60.94648,62.614193,59.944748,59.433716,62.963467,63.57708,61.14601,60.36473,63.419605,64.740326,64.84392,65.61896,65.59689,64.13108,64.53184,61.205826,49.08585,37.052097,30.739115,30.55907,30.805742,30.163166,30.394438,31.207903,31.733896,29.190266,31.34945,31.048603,40.005413,42.203285,44.422783,46.57034,39.36691,33.63887,32.331486,30.29797,31.49692,29.395432,29.802305,34.01287,35.17052,28.376377,25.84001,25.666782,24.510386,27.84496,27.224762,27.520267,30.920671,26.257498,30.58472,24.263256,26.75243
5,0.241730337,28.777243,27.401974,31.577147,27.472355,24.6574,27.163765,26.595076,28.585987,28.045511,27.019915,27.216225,25.421867,27.321688,28.006432,28.414192,27.611618,26.646692,26.975946,25.177643,27.108002,28.665583,26.443035,28.371553,27.165375,28.086222,34.80148,28.438742,35.001495,34.665886,31.938385,33.110096,40.32133,39.34808,33.062202,36.717873,39.57605,48.94129,50.276634,48.23161,39.793495,37.283585,32.824238,31.21712,30.806625,31.404537,31.986235,31.388157,33.360638,41.2656,53.49467,58.89806,63.160263,64.315475,64.278824,63.53584,63.193016,62.43728,60.380177,61.09953,63.917866,64.6295,63.529762,58.555656,43.43128,34.440956,29.917725,29.497171,31.592836,33.49805,34.359066,33.844994,33.9442,29.225985,30.838755,30.669445,33.944977,39.686535,46.926235,44.391415,36.070328,30.304615,30.081203,32.20715,29.936527,28.878517,29.971794,28.472132,29.919785,30.657557,27.47616,27.961815,27.939848,30.459803,29.177504,28.443113,29.811485,25.062263,26.285646,23.882498,27.24567
6,0.241730337,27.808912,27.556719,29.355587,27.80598,23.629875,26.39219,28.792416,29.183992,27.927992,24.571306,25.913187,26.666805,27.556639,31.81896,29.90331,27.382929,24.929907,26.49852,24.746943,26.821192,27.937216,23.564508,26.322422,28.349466,25.322678,27.121567,29.875648,29.984837,34.872955,35.613197,44.0839,55.87041,53.305637,27.408276,51.54242,58.273636,60.257164,54.883614,46.714893,41.452198,31.454384,33.56922,32.198334,34.674664,42.048607,35.598957,32.525326,37.813843,40.694077,41.51758,49.02579,57.84773,60.78186,59.71999,61.261875,64.17004,65.56891,65.358505,65.68838,65.50764,63.955315,63.70022,56.840527,39.966213,31.160494,28.67536,27.997055,30.350939,31.163546,31.61084,30.79192,30.859507,33.79212,35.13859,37.502674,46.05989,50.51681,50.26162,43.255672,37.694736,33.235336,29.274366,31.041363,29.832325,28.758646,30.491907,33.819798,32.56442,30.531384,28.323137,25.889801,23.452227,27.170729,25.76675,25.158777,33.450108,28.06633,31.754124,26.073328,26.147827
7,0.060597536,28.120533,29.283836,33.777004,25.411434,22.883617,27.0254,28.392227,29.493622,26.142471,26.264383,25.329067,25.718718,29.649115,28.511293,25.92991,26.145008,30.044373,26.310183,22.59117,27.26395,26.655184,24.716364,26.352072,27.549145,27.247862,30.853731,27.443354,27.236073,32.91439,30.560242,31.332685,40.359913,37.3667,23.882174,38.544083,51.661156,58.211243,59.606888,57.554394,50.863033,46.41975,42.391487,38.677444,42.34213,50.53799,49.093937,44.97599,52.07777,58.494984,59.815556,61.71272,62.863846,62.80774,61.549747,61.41293,62.204536,62.841187,61.62636,61.321987,63.14621,65.58182,65.43336,62.052227,51.048306,39.547337,33.09515,31.361883,37.232292,40.231815,38.478603,37.11598,36.129482,28.697384,27.591175,32.618683,39.375576,42.322937,52.64493,52.29219,42.114243,36.233593,29.685286,32.152775,29.83583,29.398333,29.903727,29.775888,29.602312,30.251343,26.483444,27.383156,25.193977,27.915064,29.018282,26.545183,29.823885,27.936369,33.340527,27.116455,24.990103
8,0.241730337,26.354656,30.096615,30.704552,25.056618,27.500608,28.046137,27.669552,30.851126,26.06367,24.47501,23.91144,25.494022,29.054628,28.59848,27.885662,24.926134,26.727253,25.631071,26.33181,32.953667,24.900797,25.046423,27.270575,31.464615,25.568554,29.75086,24.304049,27.500065,35.63492,37.58781,43.172626,56.70699,53.83518,31.6527,52.93694,56.69585,60.139626,56.775555,52.896313,49.31462,45.036037,33.66289,30.830376,30.946386,32.5952,32.080692,33.06981,32.957912,36.932842,46.70693,56.842285,62.957733,64.491135,62.853333,61.855244,63.557507,63.995502,61.40524,54.736374,56.294754,58.115204,62.160072,57.06032,42.12461,32.084705,29.761509,29.415873,31.768684,34.780888,31.189196,30.84057,30.73844,27.374975,29.619442,37.494846,43.49739,51.731697,63.18043,61.712746,49.93619,38.442562,30.909304,37.679337,33.377533,28.019861,28.905487,26.554117,27.304348,28.392506,28.328178,26.336658,26.635233,27.783335,26.400265,25.289654,27.126158,22.95533,27.231997,20.743036,22.75757
9,0.241730337,27.898766,30.922636,32.39013,28.016764,24.143726,25.949049,25.708477,27.222454,23.465977,26.83611,25.13614,25.48198,25.79844,25.680878,27.334368,27.186708,26.63856,27.886122,26.85557,24.917599,25.959715,25.476318,25.859407,32.219692,32.28866,26.948132,32.55116,27.96088,28.629854,31.103962,29.767221,38.115177,32.58565,30.522676,40.241207,47.13133,54.554886,48.987976,53.54552,44.301888,40.52298,32.63896,36.3861,35.11367,47.387413,42.55483,40.468822,54.22336,60.35481,56.201935,59.59209,64.47954,65.99561,65.645485,65.93137,66.200615,66.52634,65.554855,61.881927,61.37779,62.064655,65.38537,61.447426,47.994133,38.84721,27.820948,26.523558,28.16384,31.089855,31.958006,31.593454,32.07685,28.547705,36.181644,46.892452,54.040638,52.467827,53.555496,36.146748,29.985832,31.589197,29.766075,33.192177,30.88506,26.256268,28.84102,27.421528,28.89326,28.984644,29.623411,27.973305,27.607946,29.724674,27.896578,24.75513,25.237726,23.092957,28.094648,23.741545,23.729748
