Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost%,Load Served%,Load Transferred%,Grid Load%,Grid Exported,Grid Imported,Bill Before,Bill After,Impact Endurance,Sustained Access,Demand Assurance,Peak Assurance,ES1,PV1,DG1,ES2,PV2,DG2,Saving
Year,16,4362534.4,151477.5577,37586834.2,0.665415614,0.087066675,101900.6662,0.792074569,269055.2403,5036729.916,886703.124,850390.9368,0.46257246,0.187647815,0.078360007,0.101811113,900,1304,0,450,0,1,4.10%
Year,17,4362534.4,151488.9522,34498453.81,0.696085681,0.080487275,103776.4348,0.813780821,266161.7837,5932310.685,1015321.951,978362.2598,0.39944114,0.194823285,0.072438547,0.089882331,900,1304,0,450,0,1,3.64%
Year,18,4362534.4,151330.764,28830549.02,0.72464259,0.069286735,105282.2047,0.83439336,263546.6038,6983915.711,1164506.05,1127154.48,0.378517725,0.202957877,0.062358062,0.078050155,900,1304,0,450,0,1,3.21%
Year,19,1366086.4,195302.3966,26440697.18,0.792319129,0.027646273,98772.36047,0.882704965,19224.77267,8500174.853,1337553.462,1308047.665,0.334004122,0.044193079,0.024881646,0.031374535,600,374,0,572,1,1,2.21%
Year,20,1366086.4,0,12589677.9,0.920614723,0.012343007,14624.34886,0.982344082,18544.70111,10836752.07,1538293.451,1534063.819,0.275152238,0.074179618,0.011108706,0.015415649,600,374,0,0,0,0,0.27%
Eprice,0.5,1366086.4,648009,39065418.73,0.602263288,0.089654231,60131.3072,0.916528393,35276.8704,2712803.495,412455.0022,396123.7458,0.649665888,0.064016059,0.080688808,0.109707931,600,374,0,355,170,1,3.96%
Eprice,0.6,1366086.4,861617,38903052.41,0.598402453,0.09287575,60276.45868,0.910404158,35952.7365,2694071.791,412455.0022,398341.0217,0.667709832,0.06059216,0.083588175,0.115022504,600,374,0,376,236,1,3.42%
Eprice,0.7,1366086.4,1150686,38726813.45,0.593352097,0.097136079,60455.62575,0.902571872,37465.12276,2670134.806,412455.0022,400864.1634,0.637366959,0.037843504,0.087422471,0.123146715,600,374,0,405,326,1,2.81%
Eprice,0.8,1366086.4,1311583,38281028.23,0.590561951,0.111651378,60554.90065,0.746901555,38535.16271,2203127.281,412455.0022,391651.5657,0.622201278,0.091162406,0.10048624,0.127781475,600,374,0,421,376,1,5.04%
Eprice,0.9,1366086.4,1324495,37810474.72,0.590339875,0.111849318,60561.39456,0.746821579,38713.58764,2202881.664,412455.0022,402049.8453,0.626614656,0.061247552,0.100664386,0.128136716,600,374,0,422,380,1,2.52%
Eprice,1,1366086.4,1387311,37339448.34,0.589382415,0.112762827,60570.95991,0.746352616,39174.20349,2201447.956,412455.0022,412455.0022,0.635734288,0.079793067,0.101486544,0.129897729,600,374,0,429,399,1,0.00%
PVprice,0.6,900292,1759406,37664281.3,0.568410714,0.133627744,60595.48855,0.738259308,78490.29129,2176750.323,412455.0022,390913.0108,0.604088382,0.053975623,0.12026497,0.165372096,600,374,0,571,839,1,5.22%
PVprice,0.8,1133189.12,1554059,38033921.03,0.581639449,0.120398493,60595.89006,0.742979672,48907.83777,2191158.051,412455.0022,391316.4272,0.601882093,0.068901471,0.108358643,0.144262487,600,374,0,480,559,1,5.13%
PVprice,1,1366086.4,1311583,38281028.23,0.590561951,0.111651378,60554.90065,0.746901555,38535.16271,2203127.281,412455.0022,391651.5657,0.622201278,0.091162406,0.10048624,0.127781475,600,374,0,421,376,1,5.04%
PVprice,1.2,1594911.36,567884,38414658.83,0.605347552,0.099379861,59984.30627,0.75302815,34976.01626,2221855.401,412455.0022,392175.953,0.583620061,0.055934695,0.089441875,0.105812496,599,373,0,340,121,1,4.92%
PVprice,1.4,1831880.96,378122,38447536.71,0.609120524,0.096488947,59783.68143,0.755153635,34878.99215,2228358.977,412455.0022,392358.0531,0.604570658,0.056734643,0.086840052,0.1013041,600,374,0,320,62,1,4.87%
