Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost%,Load Served%,Load Transferred%,Grid Load%,Grid Exported,Grid Imported,Bill Before,Bill After,Impact Endurance,Sustained Access,Demand Assurance,Peak Assurance,ES1,PV1,DG1,ES2,PV2,DG2,
Year,14,3711008,252113.9805,11723997.21,0.317520354,0.508254753,29973.037,0.726541084,395050.6531,849273.0906,174100.3206,164758.4492,0.536927221,0.375485748,0.457429278,0.537281086,1500,1030,0,749.9999793,0,0.254436383,#DIV/0!
Year,15,3711008,252127.8225,11784736.07,0.338626611,0.485793988,32629.3677,0.72709306,388238.1386,943608.3671,192678.1303,182450.7552,0.517335824,0.388949116,0.437214589,0.513687445,1500,1030,0,749.9999793,0,0.285333562,#DIV/0!
Year,16,3711008,252141.1888,11375138.3,0.358916362,0.46473584,35422.81529,0.728218315,381711.95,1057032.544,214291.0299,203143.8003,0.488191922,0.413550456,0.418262256,0.496042864,1500,1030,0,749.9999793,0,0.315168992,#DIV/0!
Year,17,3711008,252144.6009,10322541.67,0.3784663,0.444474556,38379.10755,0.730011267,375197.1851,1195313.526,239501.4803,227460.59,0.474475779,0.42754608,0.4000271,0.47389456,1500,1030,0,749.9999793,0,0.322785387,#DIV/0!
Year,18,3711008,252147.6906,8402361.274,0.39726733,0.425132466,41504.30101,0.732176627,368764.5175,1360876.425,268984.948,256014.2511,0.488993318,0.444973293,0.382619219,0.452568358,1500,1030,0,749.9999793,0,0.329681954,#DIV/0!
Year,19,3711008,102000.9899,5293993.69,0.429042141,0.393026389,44923.41769,0.734249875,374805.4859,1557430.948,303554.0009,289566.1292,0.496860501,0.479321472,0.353723751,0.403975508,1500,1030,0,303.1149007,0,0.344605565,#DIV/0!
Year,20,3711008,0,479940.9166,0.78898508,0.157386569,6581.252798,0.945944456,265227.7971,2234444.813,344187.794,342383.5796,0.356347697,0.570337707,0.141647912,0.148639804,1500,1030,0,0,0,0,#DIV/0!
Eprice,0.5,3711008,252069.813,9443221.08,0.227031599,0.601762877,21934.80046,0.749699794,428052.9598,624456.1057,121836.2391,107752.3275,0.59437647,0.314654794,0.541586589,0.634604541,1500,1030,0,749.9999808,0,0.155847049,11.56%
Eprice,0.6,3711008,252069.813,9253252.663,0.227031599,0.601767128,21936.64492,0.74972058,428052.9598,624463.1296,121836.2391,110569.5312,0.591572712,0.300373691,0.541590415,0.628962264,1500,1030,0,749.9999808,0,0.155847049,9.25%
Eprice,0.7,3711008,252069.813,9063284.247,0.227031599,0.602083171,21934.89777,0.749790392,428052.9598,624505.5489,121836.2391,113388.117,0.578403639,0.301515692,0.541874854,0.627601335,1500,1030,0,749.9999808,0,0.155847049,6.93%
Eprice,0.8,3711008,252069.813,8845761.402,0.226832562,0.607569892,21934.48725,0.725873448,428210.8073,590829.7173,121836.2391,115193.8828,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049,5.45%
Eprice,0.9,3711008,252069.813,8640763.538,0.227031521,0.607302659,21935.27515,0.725829197,428052.9598,590811.976,121836.2391,118514.7948,0.59733131,0.294239261,0.546572393,0.632123062,1500,1030,0,749.9999808,0,0.155847049,2.73%
Eprice,1,3711008,252069.813,8428529.671,0.227031521,0.607011426,21934.92942,0.725796898,428052.9598,590781.6719,121836.2391,121836.2391,0.609920638,0.305519257,0.546310284,0.626674024,1500,1030,0,749.9999808,0,0.155847049,0.00%
PVprice,0.6,2428204.8,252069.813,8852997.405,0.227031521,0.607452316,21935.57991,0.725873432,428052.9598,590835.7728,121836.2391,115194.0644,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049,5.45%
PVprice,0.8,3069606.4,252069.813,8852997.405,0.227031521,0.607312831,21935.94828,0.725837668,428052.9598,590813.8671,121836.2391,115193.4073,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049,5.45%
PVprice,1,3711008,252069.813,8845761.402,0.226832562,0.607569892,21934.48725,0.725873448,428210.8073,590829.7173,121836.2391,115193.8828,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049,5.45%
PVprice,1.2,4352409.6,252069.813,8852997.405,0.227031521,0.607406521,21936.1301,0.725878778,428052.9598,590834.108,121836.2391,115194.0145,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049,5.45%
PVprice,1.4,4993811.2,252069.813,8852997.405,0.227031521,0.607096947,21933.56321,0.725813138,428052.9598,590792.2987,121836.2391,115192.7602,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049,5.45%
