PVWatts Hourly PV Performance Data,,,,,,,,,,,,,,,,,,,,,
Requested Location,houston,,,,,,,,,,,,,,,,,,,,
Location,"Lat, Lng: 29.65, -95.38",,,,,,,,,,,,,,,,,,,,
Latitude (DD),29.65,,,,,,,,,,,,,,,,,,,,
Longitude (DD),-95.38,,,,,,,,,,,,,,,,,,,,
Elevation (m),15.03999996,,,,,,,,,,,,,,,,,,,,
DC System Size (kW),4,,,,,,,,,,,,,,,,,,,,
Module Type,Standard,,,,,,,,,,,,,,,,,,,,
Array Type,Fixed (roof mount),,,,,,,,,,,,,,,,,,,,
Array Tilt (deg),20,,,,,,,,,,,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,,,,,,,,,,,
System Losses (%),14.08,,,,,,,,,,,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,,,,,,,,,,,
Bifacial,No (0),,,,,,,,,,,,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,,,,,,,,,,,
1,3,4,0,0,2,1.5,0.16,0,2,0,0,,,,,,,,,,
1,3,5,0,0,2,1.6,0.16,0,2,0,0,,,,,,,,,,
1,3,6,0,0,2,1.8,0.16,0,2,0,0,,,,,,,,,,
1,3,7,0,12,4,2.5,0.16,11.638,4.251,23.268,6.589,,,,,,,,,,
1,3,8,595,56,7,3.2,0.16,316.899,14.176,1101.858,1046.961,,,,,,,,,,
1,3,9,762,77,10,3.3,0.16,549.863,22.377,1942.781,1858.086,,,,,,,,,,
1,3,10,838,89,13,3.4,0.16,728.553,29.108,2492.528,2388.353,,,,,,,,,,
1,3,11,870,97,14,3.3,0.16,837.886,32.795,2808.731,2693.352,,,,,,,,,,
1,3,12,866,104,15,3.2,0.16,866.24,34.738,2875.751,2757.998,,,,,,,,,,
1,3,13,843,104,16,3,0.16,816.66,35.245,2712.731,2600.753,,,,,,,,,,
1,3,14,0,104,15,2.8,0.16,99.615,17.418,332.434,304.801,,,,,,,,,,
1,3,15,0,113,14,2.4,0.16,110.689,16.895,374.757,345.624,,,,,,,,,,
1,3,16,0,44,12,1.8,0.16,41.706,13.226,136.469,115.779,,,,,,,,,,
1,3,17,0,0,9,1.6,0.16,0,0,0,0,,,,,,,,,,
1,3,18,0,0,9,1.9,0.16,0,9,0,0,,,,,,,,,,
1,3,19,0,0,8,2,0.16,0,8,0,0,,,,,,,,,,
1,3,20,0,0,8,1.9,0.16,0,8,0,0,,,,,,,,,,
1,3,21,0,0,8,1.6,0.16,0,8,0,0,,,,,,,,,,
1,3,22,0,0,8,1.4,0.16,0,8,0,0,,,,,,,,,,
1,3,23,0,0,8,1.3,0.16,0,8,0,0,,,,,,,,,,
1,4,0,0,0,8,1.3,0.16,0,8,0,0,,,,,,,,,,
1,4,1,0,0,8,1.3,0.16,0,8,0,0,,,,,,,,,,
1,4,2,0,0,8,1.3,0.16,0,8,0,0,,,,,,,,,,
1,4,3,0,0,8,1.3,0.16,0,8,0,0,,,,,,,,,,
1,4,4,0,0,9,1.3,0.16,0,9,0,0,,,,,,,,,,
1,4,5,0,0,9,1.2,0.16,0,9,0,0,,,,,,,,,,
1,4,6,0,0,9,1.1,0.16,0,9,0,0,,,,,,,,,,
1,4,7,0,5,11,1.4,0.16,4.849,11.131,8.983,0,,,,,,,,,,
1,4,8,0,72,13,1.8,0.16,71.131,15.093,237.274,213.012,,,,,,,,,,
1,4,9,39,155,15,2,0.16,185.466,20.247,632.655,594.383,,,,,,,,,,
1,4,10,58,221,16,2,0.16,275.081,23.767,929.597,880.804,,,,,,,,,,
1,4,11,61,260,17,2.1,0.16,324.114,25.956,1084.382,1030.104,,,,,,,,,,
1,4,12,60,271,18,2.2,0.16,336.585,27.115,1119.95,1064.412,,,,,,,,,,
1,4,13,0,155,19,2.2,0.16,150.663,23.078,495.844,462.42,,,,,,,,,,
1,4,14,5,169,18,2.3,0.16,170.28,22.529,567.985,532.005,,,,,,,,,,
1,4,15,0,81,17,2.2,0.16,77.43,19.104,256.088,231.159,,,,,,,,,,
1,4,16,0,44,16,2,0.16,41.705,17.176,134.213,113.603,,,,,,,,,,
1,4,17,0,0,15,2.3,0.16,0,0,0,0,,,,,,,,,,
1,4,18,0,0,14,2.6,0.16,0,14,0,0,,,,,,,,,,
1,4,19,0,0,14,2.6,0.16,0,14,0,0,,,,,,,,,,
1,4,20,0,0,14,2.3,0.16,0,14,0,0,,,,,,,,,,
1,4,21,0,0,14,2.1,0.16,0,14,0,0,,,,,,,,,,
1,4,22,0,0,14,2.2,0.16,0,14,0,0,,,,,,,,,,
1,4,23,0,0,15,2.4,0.16,0,15,0,0,,,,,,,,,,
1,5,0,0,0,15,2.7,0.16,0,15,0,0,,,,,,,,,,
1,5,1,0,0,15,2.8,0.16,0,15,0,0,,,,,,,,,,
1,5,2,0,0,15,2.7,0.16,0,15,0,0,,,,,,,,,,
1,5,3,0,0,15,2.6,0.16,0,15,0,0,,,,,,,,,,
1,5,4,0,0,15,2.6,0.16,0,15,0,0,,,,,,,,,,
1,5,5,0,0,15,2.7,0.16,0,15,0,0,,,,,,,,,,
1,5,6,0,0,15,2.8,0.16,0,15,0,0,,,,,,,,,,
1,5,7,0,15,15,3,0.16,14.548,15.287,27.862,11.02,,,,,,,,,,
1,5,8,482,65,15,3.2,0.16,279.66,21.333,943.593,894.304,,,,,,,,,,
1,5,9,652,95,17,3.3,0.16,506.803,28.403,1745.899,1668.18,,,,,,,,,,
1,5,10,739,114,18,3.6,0.16,687.369,32.727,2315.763,2217.852,,,,,,,,,,
1,5,11,803,117,20,3.7,0.16,806.308,36.993,2657.111,2547.104,,,,,,,,,,
1,5,12,829,117,21,4,0.16,851.235,38.157,2786.764,2672.164,,,,,,,,,,
1,5,13,705,140,21,4.4,0.16,751.172,35.317,2490.321,2386.225,,,,,,,,,,
1,5,14,777,91,20,4.2,0.16,676.226,33.277,2277.464,2180.911,,,,,,,,,,
1,5,15,697,80,19,3.1,0.16,503.845,30.716,1722.809,1645.909,,,,,,,,,,
1,5,16,455,59,16,2,0.16,252.072,23.071,832.006,786.671,,,,,,,,,,
1,5,17,0,0,13,1.8,0.16,0,0,0,0,,,,,,,,,,
1,5,18,0,0,11,1.9,0.16,0,11,0,0,,,,,,,,,,
1,5,19,0,0,10,2,0.16,0,10,0,0,,,,,,,,,,
1,5,20,0,0,9,2,0.16,0,9,0,0,,,,,,,,,,
1,5,21,0,0,8,1.9,0.16,0,8,0,0,,,,,,,,,,
1,5,22,0,0,7,1.7,0.16,0,7,0,0,,,,,,,,,,
1,5,23,0,0,6,1.6,0.16,0,6,0,0,,,,,,,,,,
1,6,0,0,0,6,1.6,0.16,0,6,0,0,,,,,,,,,,
1,6,1,0,0,5,1.6,0.16,0,5,0,0,,,,,,,,,,
1,6,2,0,0,5,1.6,0.16,0,5,0,0,,,,,,,,,,
1,6,3,0,0,4,1.6,0.16,0,4,0,0,,,,,,,,,,
1,6,4,0,0,4,1.5,0.16,0,4,0,0,,,,,,,,,,
1,6,5,0,0,3,1.5,0.16,0,3,0,0,,,,,,,,,,
1,6,6,0,0,3,1.7,0.16,0,3,0,0,,,,,,,,,,
1,6,7,231,13,5,2.3,0.16,55.918,6.089,94.208,75.016,,,,,,,,,,
1,6,8,692,48,8,2.5,0.16,343.276,16.769,1181.682,1123.956,,,,,,,,,,
1,6,9,852,65,11,2.1,0.16,588.23,27.396,2042.028,1953.817,,,,,,,,,,
1,6,10,534,166,14,2,0.16,590.751,30.74,1997.849,1911.203,,,,,,,,,,
1,6,11,965,78,16,2.2,0.16,889.119,40.217,2895.153,2776.712,,,,,,,,,,
1,6,12,969,81,17,2.5,0.16,923.297,40.75,2993.21,2871.294,,,,,,,,,,
1,6,13,951,81,18,3,0.16,875.895,38.645,2871.088,2753.5,,,,,,,,,,
1,6,14,701,112,17,3.3,0.16,649.569,31.587,2198.808,2105.041,,,,,,,,,,
1,6,15,833,65,16,2.5,0.16,564.284,30.574,1935.438,1851.004,,,,,,,,,,
1,6,16,505,52,13,1.5,0.16,264.81,21.266,881.78,834.681,,,,,,,,,,
1,6,17,0,0,10,1.3,0.16,0,0,0,0,,,,,,,,,,
1,6,18,0,0,10,1.3,0.16,0,10,0,0,,,,,,,,,,
1,6,19,0,0,10,1.2,0.16,0,10,0,0,,,,,,,,,,
1,6,20,0,0,9,1.2,0.16,0,9,0,0,,,,,,,,,,
1,6,21,0,0,9,1.2,0.16,0,9,0,0,,,,,,,,,,
1,6,22,0,0,8,1.3,0.16,0,8,0,0,,,,,,,,,,
1,6,23,0,0,7,1.3,0.16,0,7,0,0,,,,,,,,,,
1,7,0,0,0,6,1.3,0.16,0,6,0,0,,,,,,,,,,
1,7,1,0,0,6,1.3,0.16,0,6,0,0,,,,,,,,,,
1,7,2,0,0,6,1.3,0.16,0,6,0,0,,,,,,,,,,
1,7,3,0,0,5,1.3,0.16,0,5,0,0,,,,,,,,,,
1,7,4,0,0,5,1.3,0.16,0,5,0,0,,,,,,,,,,
1,7,5,0,0,4,1.3,0.16,0,4,0,0,,,,,,,,,,
1,7,6,0,0,4,1.3,0.16,0,4,0,0,,,,,,,,,,
1,7,7,0,12,6,1.8,0.16,11.638,6.288,23.043,6.372,,,,,,,,,,
1,7,8,252,79,9,2.3,0.16,194.227,14.157,668.324,628.788,,,,,,,,,,
1,7,9,495,120,12,2.5,0.16,437.745,23.289,1530.886,1460.786,,,,,,,,,,
1,7,10,581,151,15,3.1,0.16,608.297,29.102,2072.533,1983.241,,,,,,,,,,
1,7,11,901,92,18,3.5,0.16,853.444,36.55,2819.047,2703.303,,,,,,,,,,
1,7,12,936,83,19,3.7,0.16,898.643,37.938,2946.421,2826.163,,,,,,,,,,
1,7,13,925,79,19,3.7,0.16,853.754,37.002,2817.148,2701.471,,,,,,,,,,
1,7,14,885,74,19,3.3,0.16,732.796,35.467,2448.898,2346.269,,,,,,,,,,
1,7,15,803,64,18,2.1,0.16,547.569,33.264,1857.626,1775.949,,,,,,,,,,
1,7,16,461,57,15,1.2,0.16,254.342,23.52,840.538,794.9,,,,,,,,,,
1,7,17,0,0,13,1.2,0.16,0,0,0,0,,,,,,,,,,
1,7,18,0,0,12,1.3,0.16,0,12,0,0,,,,,,,,,,
1,7,19,0,0,11,1.4,0.16,0,11,0,0,,,,,,,,,,
1,7,20,0,0,10,1.4,0.16,0,10,0,0,,,,,,,,,,
1,7,21,0,0,9,1.3,0.16,0,9,0,0,,,,,,,,,,
1,7,22,0,0,9,1.2,0.16,0,9,0,0,,,,,,,,,,
1,7,23,0,0,8,1.1,0.16,0,8,0,0,,,,,,,,,,
1,8,0,0,0,7,1.1,0.16,0,7,0,0,,,,,,,,,,
1,8,1,0,0,6,1.2,0.16,0,6,0,0,,,,,,,,,,
1,8,2,0,0,6,1.5,0.16,0,6,0,0,,,,,,,,,,
1,8,3,0,0,5,1.7,0.16,0,5,0,0,,,,,,,,,,
1,8,4,0,0,5,1.8,0.16,0,5,0,0,,,,,,,,,,
1,8,5,0,0,4,1.9,0.16,0,4,0,0,,,,,,,,,,
1,8,6,0,0,4,2.1,0.16,0,4,0,0,,,,,,,,,,
1,8,7,179,13,6,2.9,0.16,45.781,6.807,77.197,58.607,,,,,,,,,,
1,8,8,646,53,8,3.3,0.16,331.271,15.377,1145.327,1088.89,,,,,,,,,,
1,8,9,813,72,11,3.6,0.16,572.68,23.3,2017.726,1930.375,,,,,,,,,,
1,8,10,890,83,14,4.1,0.16,760.018,29.134,2599.799,2491.824,,,,,,,,,,
1,8,11,923,89,15,4.1,0.16,868.711,32.273,2917.2,2797.978,,,,,,,,,,
1,8,12,921,94,16,3.7,0.16,899.748,34.958,2983.214,2861.653,,,,,,,,,,
1,8,13,898,93,16,3.3,0.16,855.348,35.187,2840.202,2723.708,,,,,,,,,,
1,8,14,848,88,16,3.1,0.16,728.747,32.913,2457.497,2354.564,,,,,,,,,,
1,8,15,472,120,15,2.6,0.16,419.029,25.612,1451.447,1384.162,,,,,,,,,,
1,8,16,448,65,12,1.8,0.16,258.609,19.571,870.27,823.579,,,,,,,,,,
1,8,17,0,0,10,1.7,0.16,0,0,0,0,,,,,,,,,,
1,8,18,0,0,10,2,0.16,0,10,0,0,,,,,,,,,,
1,8,19,0,0,10,2.3,0.16,0,10,0,0,,,,,,,,,,
1,8,20,0,0,10,2.5,0.16,0,10,0,0,,,,,,,,,,
1,8,21,0,0,9,2.9,0.16,0,9,0,0,,,,,,,,,,
1,8,22,0,0,9,3.6,0.16,0,9,0,0,,,,,,,,,,
1,8,23,0,0,9,3.7,0.16,0,9,0,0,,,,,,,,,,
1,9,0,0,0,9,3.3,0.16,0,9,0,0,,,,,,,,,,
1,9,1,0,0,8,3.8,0.16,0,8,0,0,,,,,,,,,,
1,9,2,0,0,8,4.9,0.16,0,8,0,0,,,,,,,,,,
1,9,3,0,0,8,5.6,0.16,0,8,0,0,,,,,,,,,,
1,9,4,0,0,8,6.3,0.16,0,8,0,0,,,,,,,,,,
1,9,5,0,0,8,6.5,0.16,0,8,0,0,,,,,,,,,,
1,9,6,0,0,8,6.4,0.16,0,8,0,0,,,,,,,,,,
1,9,7,0,5,10,5.7,0.16,4.849,10.066,9.034,0,,,,,,,,,,
1,9,8,20,81,12,4.6,0.16,92.882,13.718,314.414,287.418,,,,,,,,,,
1,9,9,141,166,13,3.4,0.16,265.309,18.856,924.506,875.893,,,,,,,,,,
1,9,10,0,137,14,2.9,0.16,132.926,17.171,448.258,416.52,,,,,,,,,,
1,9,11,0,66,14,3.8,0.16,62.65,15.293,205.517,182.38,,,,,,,,,,
1,9,12,8,206,13,4.9,0.16,209.752,16.72,714.529,673.356,,,,,,,,,,
1,9,13,0,105,12,5.3,0.16,100.214,13.692,337.2,309.397,,,,,,,,,,
1,9,14,0,128,10,5.4,0.16,123.767,12.068,424.993,394.08,,,,,,,,,,
1,9,15,0,53,8,5.2,0.16,50.238,8.862,170.297,148.409,,,,,,,,,,
1,9,16,377,83,7,4.4,0.16,250.626,11.743,871.226,824.5,,,,,,,,,,
1,9,17,30,9,6,3.3,0.16,13.955,6.246,24.766,8.034,,,,,,,,,,
1,9,18,0,0,4,2.7,0.16,0,4,0,0,,,,,,,,,,
1,9,19,0,0,4,2.4,0.16,0,4,0,0,,,,,,,,,,
1,9,20,0,0,3,2.2,0.16,0,3,0,0,,,,,,,,,,
1,9,21,0,0,3,2,0.16,0,3,0,0,,,,,,,,,,
1,9,22,0,0,2,1.7,0.16,0,2,0,0,,,,,,,,,,
1,9,23,0,0,2,1.5,0.16,0,2,0,0,,,,,,,,,,
1,10,0,0,0,2,1.4,0.16,0,2,0,0,,,,,,,,,,
1,10,1,0,0,2,1.4,0.16,0,2,0,0,,,,,,,,,,
1,10,2,0,0,2,1.6,0.16,0,2,0,0,,,,,,,,,,
1,10,3,0,0,2,1.9,0.16,0,2,0,0,,,,,,,,,,
1,10,4,0,0,2,2.3,0.16,0,2,0,0,,,,,,,,,,
1,10,5,0,0,2,2.5,0.16,0,2,0,0,,,,,,,,,,
1,10,6,0,0,3,2.7,0.16,0,3,0,0,,,,,,,,,,
1,10,7,79,14,3,2.9,0.16,28.071,3.517,50.202,32.569,,,,,,,,,,
1,10,8,0,31,4,2.9,0.16,29.345,4.701,98.612,79.263,,,,,,,,,,
1,10,9,0,64,5,2.7,0.16,60.699,6.503,209.234,185.965,,,,,,,,,,
1,10,10,0,87,7,2.3,0.16,82.618,9.196,282.609,256.741,,,,,,,,,,
1,10,11,0,88,8,2,0.16,83.593,10.353,283.048,257.164,,,,,,,,,,
1,10,12,0,121,9,1.8,0.16,116.011,12.402,393.611,363.81,,,,,,,,,,
1,10,13,0,115,10,1.8,0.16,110.128,13.231,372.487,343.434,,,,,,,,,,
1,10,14,0,113,10,1.9,0.16,108.532,13.124,369.293,340.353,,,,,,,,,,
1,10,15,0,98,9,2,0.16,94.591,11.673,324.872,297.506,,,,,,,,,,
1,10,16,557,61,8,1.6,0.16,299.481,17.157,1022.676,970.584,,,,,,,,,,
1,10,17,88,11,6,1.4,0.16,26.171,6.633,44.38,26.954,,,,,,,,,,
1,10,18,0,0,5,2.2,0.16,0,5,0,0,,,,,,,,,,
1,10,19,0,0,4,3.2,0.16,0,4,0,0,,,,,,,,,,
1,10,20,0,0,3,3.7,0.16,0,3,0,0,,,,,,,,,,
1,10,21,0,0,2,3.9,0.16,0,2,0,0,,,,,,,,,,
1,10,22,0,0,2,3.9,0.16,0,2,0,0,,,,,,,,,,
1,10,23,0,0,1,3.9,0.16,0,1,0,0,,,,,,,,,,
1,11,0,0,0,1,3.9,0.16,0,1,0,0,,,,,,,,,,
