,ES_I,PV_I,DG_I,ES_E,PV_E,DG_E,U
0,27.0,87.0,9.0,14.667729513673596,43.61265154617275,6.624999999999999,1.0
1,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
2,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
3,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
