,ES_I,PV_I,DG_I,ES_E,PV_E,DG_E,U
0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
1,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2,30.0,120.0,16.0,25.76561010634849,68.78954641763133,15.249999999999998,1.0
