year,Investment,Expansion,Bill Saving,Phi,Lambda,E
4,88164.26666666666,40224.64338102845,0.148232824411794,0.07363199221351739,0.7050668937825821,0.8078947225013469
8,109194.8,63336.83920642203,0.14214158891541703,0.09023416073255418,0.7030213793526209,0.8043778134886793
12,120272.53333333334,76648.69753398147,0.1411445516149253,0.08987023496519854,0.7056084546894508,0.7308621643030476
16,112226.40000000001,79578.85901932971,0.1379759860893444,0.07951095856506478,0.6188049319972627,0.6391545188892509
