drp,Investment,Expansion,Bill Saving,Phi,Lambda,E
0,128318.6667,79737.79459,0.034130211,0.090165818,0.600057653,0.392834162
0.2,104180.2667,70912.42983,0.143017272,0.08308943,0.664615244,0.727669129
0.4,100157.2,66832.12985,0.309236358,0.088583074,0.74817314,0.811573821
0.6,103265.0667,49913.44156,0.518024581,0.082960339,0.795627601,0.803100728
0.8,36302.93333,22536.3409,0.703980819,0.047288915,0.752256283,0.73509947
1,36302.93333,22536.3409,0.823980819,0.047288915,0.752256283,0.73509947
