year,Investment,Expansion,Bill Saving,Phi,Lambda,E
4,73657.17333333334,21805.63946352717,0.13508525965978227,0.10002670727332723,0.6955509575292075,0.8010345256883851
8,103681.83466666668,45414.88795287081,0.1385239402679853,0.11331879646070885,0.6935534523612628,0.7314649561142325
12,110267.28533333335,70297.13178569563,0.1392658359634103,0.11479468416981142,0.6703788621281026,0.665692633038125
16,123438.18666666669,74226.89823813344,0.1383769079671336,0.15478442888234922,0.6500233328902097,0.6174644820117345
