,ES_I,PV_I,DG_I,ES_E,PV_E,DG_E,U
0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
4,88.0,176.0,21.0,0.0,0.0,0.0,1.0
