,ES_I,PV_I,DG_I,ES_E,PV_E,DG_E,U
0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
1,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
2,57.0,228.0,35.0,27.830784731777417,68.16161258775406,27.500000000000007,1.0
