price,Investment,Expansion,Bill Saving,Phi,Lambda,E
0.4,106616.4,74487.65957,0.108459521,0.256861804,0.696923783,0.68289104
0.5,106616.4,74916.36607,0.108009979,0.220034486,0.69055168,0.679993519
0.6,106616.4,74487.9442,0.107593868,0.256861804,0.696923851,0.68289104
0.7,106616.4,73832.34559,0.13868802,0.238205478,0.688295257,0.678960153
0.8,106616.4,73176.74698,0.169782173,0.219549152,0.679666663,0.675029265
0.9,106616.4,74241.37068,0.141345176,0.361027857,0.70430125,0.690384507
1,108517.2,74257.43787,0.111695283,0.361027857,0.705803689,0.691134595
