drp,Investment,Expansion,Bill Saving,Phi,Lambda,E
0.0,106225.504,61320.16401907581,0.02882590227907156,0.10909484986817203,0.5770542466932657,0.49193531524183787
0.2,106225.504,60026.81802851343,0.139026319786719,0.11195177241746787,0.6808869717439274,0.6994008202276925
0.4,102121.30133333334,51972.3991247283,0.28630539264871546,0.1118321912091397,0.7555652614687131,0.8239059920378903
0.6,97658.176,54187.423949438,0.4866838358257466,0.10843861231239074,0.8037516803514789,0.8157682400309018
0.8,97658.176,54349.13137210459,0.7063036344447324,0.10504503341564171,0.8356188655717828,0.8236735400334695
1.0,96909.12,54339.30855044296,0.9372661456446756,0.10504503341564171,0.8360915568591465,0.8237747275970475
