,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013562,0.0,0.0,0.0,0.0,0.0,0.006781,0.0,0.0,0.0,0.006781,0.0,0.0,0.0,0.0,0.0,0.0033905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006781,0.00847625,0.0,0.006781
7,0.010626,0.014279,0.33558699999999997,0.38769400000000004,0.382341,0.307753,0.048805,0.063816,0.384432,0.17296799999999998,0.088515,0.439965,0.41967200000000005,0.20591900000000002,0.393475,0.408904,0.096312,0.019242000000000002,0.32312599999999997,0.078295,0.5703590000000001,0.5919930000000001,0.555885,0.157028,0.080505,0.60999,0.594178,0.016947,0.152577,0.06465699999999999,0.46716199999999997,0.047392,0.0390475,0.1108865,0.3373235,0.260235,0.5115235,0.0628435,0.14192725,0.055604,0.3636985,0.095366125,0.3064665,0.1881855,0.240372,0.361468,0.40963825,0.21634481249999998,0.17626699999999998,0.1857845,0.13395725,0.1814735,0.096105,0.34062275000000003,0.2696845,0.5811760000000001,0.30392875,0.5241690000000001,0.438400125,0.083405,0.26590949999999997
8,0.09538500000000001,0.037590000000000005,1.4440840000000001,1.522222,1.462736,0.575,0.189158,0.071367,1.4504169999999998,1.460053,0.37819200000000003,1.4798589999999998,1.41419,0.701788,1.298841,1.332419,0.47653500000000004,0.584406,0.787224,0.5869260000000001,1.6245429999999998,1.678169,1.546474,0.5422100000000001,0.578033,1.655789,1.559798,0.598321,0.34686399999999995,0.039764,1.133287,0.3078115,0.0544785,0.8246055,0.8477764999999999,1.028946,1.3398805,0.44736875000000004,1.14232925,0.18958925000000001,1.0811164999999998,0.665743625,1.4699559999999998,0.45112749999999996,0.963476,0.9857034999999998,0.95744025,0.7567600624999999,1.0212025,0.32318349999999996,0.68340775,0.621999,1.0222295,1.2245742499999999,1.0024730000000002,1.6513559999999998,0.93265875,1.3923215,1.045363625,0.48255900000000007,0.5865254999999999
9,0.498121,0.683179,2.408831,2.436442,2.340065,0.927087,0.670147,0.678567,2.3816599999999997,2.327954,0.623779,2.327344,2.2377029999999998,1.079112,0.434355,0.660389,0.696465,0.5422859999999999,0.7021459999999999,0.6001259999999999,2.4505100000000004,2.5142330000000004,2.337576,1.2549780000000001,0.630479,2.495149,2.308599,0.648785,0.6301559999999999,0.294135,1.701622,0.656829,0.6808730000000001,1.4990505,1.394642,1.4789115000000002,2.019599,0.6284775,1.91350225,0.667698,1.59026675,1.291824625,2.327649,1.0377575,1.5390624999999998,1.5403330000000002,1.4733429999999998,1.3432333125,1.5288080000000002,0.802827,1.3770142500000002,1.167045,1.43512,1.9747802500000002,1.7975215000000002,2.4823715,1.63773025,2.09199675,1.5874825,0.6119524999999999,0.9978785
10,0.7363780000000001,2.176556,3.103173,3.062205,2.9585909999999997,1.956941,1.31086,0.503357,3.0399830000000003,2.919196,0.925765,2.903171,2.844544,1.7703389999999999,0.8602430000000001,0.866291,0.92171,1.326935,0.877479,0.9505929999999999,3.036483,3.10362,1.986337,1.57471,0.394904,3.0717689999999997,2.824672,1.717927,0.955191,0.292419,2.908407,1.28573,1.3399565,2.1150279999999997,1.6820939999999998,1.6490375,2.447372,1.1181615,2.517112,0.8945435,2.27872225,1.913986,2.9111835,1.5110252499999999,1.9808465000000002,1.995837,2.2021565,1.7980399999999999,2.4105499999999997,1.230149,1.8448689999999999,1.6725245,2.1230655,2.5757554999999996,2.2666505,3.0700515,2.177784625,2.98922925,2.55528175,0.9381789999999999,1.600413
11,0.814254,3.096711,3.557385,3.445852,3.338815,1.739123,1.8692739999999999,0.978296,3.478506,3.2499949999999997,1.3120399999999999,3.268484,3.201629,3.0443939999999996,1.376927,1.6069570000000002,0.20433199999999999,0.865184,0.5296000000000001,2.3179600000000002,3.4026170000000002,3.448085,1.935615,3.17246,0.484391,3.41351,3.121558,3.162396,1.34486,1.684009,2.2161489999999997,1.790551,2.0375035,2.5596344999999996,2.5487595,1.8764375,2.075882,2.0542555,2.90481475,1.3844235,2.0462932499999997,2.387044375,3.2592394999999996,2.2931315000000003,1.841419,2.3737385,1.9075025,2.4679019374999998,3.3598905,1.3587095,2.86604725,3.108427,2.0575894999999997,2.98112575,3.2556374999999997,3.425351,2.74738025,2.82075,2.0618257499999997,1.815,1.950079
