,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.21968000000000001,0.234995,0.18481999999999998,0.039929,0.758358,1.036543,0.629078,0.18013900000000002,0.160174,0.921826,0.827111,0.052128999999999995,0.364089,0.18211000000000002,0.13967,1.004999,1.008867,0.983452,0.747221,0.923631,0.878081,0.767888,0.849314,0.9057350000000001,0.874166,0.116875,0.013714,0.326519,0.013436,0.710157,0.730242,0.465105,0.375043,0.6123395,0.775452,0.2394095,0.30722625000000003,0.931827,0.735052,0.649337,0.8999535000000001,0.7226045000000001,0.8761099999999999,0.5316505,0.1701165,0.6859707500000001,0.19990950000000002,0.590696125,0.9268265,0.7535795000000001,0.43761649999999996,0.88705975,0.386036,0.69132875,0.5452775000000001,0.245959,0.6797802500000001,0.49837775,0.6796599999999999,0.95441025,0.8260339999999999
9,0.23812799999999998,0.5797490000000001,1.127039,0.16956200000000002,1.149538,1.98116,1.649458,0.083911,0.7223780000000001,1.847562,1.0216749999999999,0.12106600000000001,1.436585,1.139341,0.212978,1.9865329999999999,1.9340039999999998,1.897402,1.823431,1.8196620000000001,1.34104,1.622106,1.757048,1.076529,0.32770900000000003,0.10051099999999999,0.67179,0.733846,0.270898,2.064569,2.058824,0.731053,1.1170655,1.1123304999999999,1.74851,0.7014214999999999,0.9092435,1.5014175,1.358793,1.46836375,1.594301,1.711681,1.904982,1.0163200000000001,0.7028179999999999,1.590022375,0.16101949999999998,0.6184762500000001,1.67448975,1.495249,0.6250245,0.961005,0.9106639999999999,1.5723535000000002,1.1017839999999999,0.60878825,1.46788075,0.8736865,1.854141,1.7641524999999998,1.953193
10,0.496015,0.87691,0.6957380000000001,0.38459,0.946747,2.6025210000000003,1.8665070000000001,0.23202799999999998,0.609591,2.460747,1.9045830000000001,0.32600799999999996,2.6505970000000003,1.924805,0.537335,2.622241,2.54608,2.517642,2.05544,2.434339,2.396591,2.2200659999999997,2.376157,1.7931110000000001,0.736677,0.40395,0.563012,1.06033,0.13570400000000002,2.747975,2.702385,1.3612994999999999,1.5662824999999998,1.5591279999999998,2.163627,0.96215575,1.2642191249999999,2.253552,1.9917702499999999,2.0003107499999997,2.428669,2.3698726249999997,2.3388405,1.485837,0.811671,2.1850916875,0.3640215,1.0004480624999998,2.3571495000000002,2.131549,0.6753485,1.5826730000000002,0.7548794999999999,1.999028,1.2444245,0.9851162499999999,1.807284,1.42356825,2.284446,2.4873745,2.581566
11,1.129923,1.1808040000000002,0.300831,1.168964,1.205432,2.974742,1.949017,0.126258,0.40292,2.849355,2.8151509999999997,0.338024,3.0681480000000003,3.0302350000000002,0.354554,3.0163539999999998,2.919272,2.8970149999999997,2.28268,2.7938180000000004,2.746763,2.642055,2.7676999999999996,2.8085549999999997,2.7339209999999996,0.33773000000000003,1.040177,1.273137,1.615428,3.182186,3.091704,1.5423935,2.1755750000000003,2.0731384999999998,2.3991860000000003,1.29128525,1.7334301250000002,2.8949464999999996,2.27937375,2.4846965,2.7980590000000003,2.730779875,2.649517,1.574186,1.156657,2.6077381875,0.6280905,2.2336755624999998,2.87215075,2.34789,0.7715810000000001,2.76599,1.1228045,2.1484535,1.5546929999999999,1.2566525000000002,2.17790925,1.5582897500000001,2.5203605,2.8586655,2.9705295
12,1.075361,1.245171,0.49804000000000004,0.537464,1.2542650000000002,3.100046,2.449866,0.260758,0.445182,2.997592,2.523254,0.591605,3.230609,2.6368180000000003,0.44746600000000003,3.176626,3.060624,3.038409,2.549491,2.953861,2.9041230000000002,2.879218,2.936305,2.497809,2.874959,0.506065,1.156623,0.6980190000000001,1.6485830000000001,3.361146,3.24316,1.747864,1.949305,2.1259935,2.723729,1.4522435,1.70077425,2.81165,2.4622450000000002,2.451583,2.9508575,2.9116955000000004,2.8630585,1.7006634999999999,0.9273210000000001,2.68163925,0.6680595,2.287866625,2.904621,2.6769945,0.8801650000000001,2.91290825,1.205444,2.56343025,1.4979245,1.2276850000000001,2.33774225,1.72426375,2.846513,3.00574075,3.1203760000000003
