,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.166244,0.01921,0.151006,0.15246,0.162025,0.166233,0.17924,0.079426,0.072622,0.092904,0.05057,0.172151,0.172905,0.007719,0.024839,0.188609,0.208324,0.187388,0.19584000000000001,0.21360900000000002,0.215287,0.134795,0.166232,0.19636199999999998,0.018953,0.211508,0.213229,0.205143,0.21511000000000002,0.199709,0.223081,0.110474,0.205845,0.206469,0.176816,0.137894,0.0975535,0.157355,0.1641285,0.176816,0.064842,0.0922675,0.16179949999999999,0.1774265,0.18665375,0.15829425000000003,0.14405375,0.175261375,0.0955355,0.14936825,0.12113612500000001,0.17946450000000003,0.20308900000000002,0.14928131249999999,0.173423,0.1897365,0.12785649999999998,0.15712975,0.160991,0.2004915,0.1662385
7,0.07132,0.03147,0.886535,0.9071509999999999,0.898572,0.878974,0.538067,0.237341,0.13243000000000002,0.35948,0.508824,0.720573,0.363405,0.07564799999999999,0.10106,0.756475,0.815712,0.7067559999999999,0.464432,0.208003,0.511144,0.794135,0.30629199999999995,0.638572,0.249356,0.589856,0.8519800000000001,0.841503,0.8410449999999999,0.82684,0.849718,0.46381400000000006,0.8030965,0.83941,0.389038,0.4379565,0.39120199999999994,0.41349725000000004,0.602432,0.389038,0.24764200000000003,0.232343,0.24240862500000002,0.41389750000000003,0.41613231250000005,0.7547915,0.3483875,0.59389875,0.20367599999999997,0.5358765,0.44767825,0.8732804999999999,0.833125,0.43078787500000004,0.6754835,0.46165,0.6751635,0.5747798125,0.526835,0.6529675,0.475147
8,0.586963,0.523518,1.744194,1.763123,1.768674,1.728226,1.638966,0.695338,0.487547,0.794314,1.066654,1.3248250000000001,1.1080340000000002,0.120294,0.58178,1.1674179999999998,1.529253,1.4732429999999999,1.132425,0.272521,1.280662,0.511281,0.940557,1.475153,0.748097,1.563887,1.5903969999999998,1.5716990000000002,1.554754,1.406356,1.5787909999999998,0.8553454999999999,1.3731044999999997,1.4983765,1.030103,1.0852455,0.7967684999999999,1.05767425,1.3546155,1.030103,0.68943175,0.5751985,0.8223186250000001,0.8771905,1.1931028125,1.5588692499999999,0.85381175,1.176094125,0.7611684999999999,1.0367875,0.91555075,1.63074975,1.4523662499999999,0.896370625,1.4383095,1.0886799999999999,1.3191765000000002,1.2927208125,1.2096162499999998,1.352062,1.1575945
9,1.2683769999999999,2.167658,2.3852480000000003,2.375391,2.439429,2.382288,2.266832,1.29734,0.664337,1.457061,1.770847,1.745588,1.527326,0.210124,0.961347,0.9502430000000001,1.54331,2.04025,2.247703,0.5857680000000001,2.2356689999999997,1.234341,0.9952989999999999,0.916057,1.35006,2.112657,2.1507680000000002,2.110945,2.0829299999999997,2.028651,2.126608,1.180446,1.5384255,2.0897095,1.6543134999999998,1.1066985,1.125187,1.380506,1.717364,1.6543134999999998,1.674052,0.9322187499999999,1.3244414999999998,1.10931,1.71854925,2.0463775,1.589960875,1.8398351875,0.9783229999999999,1.510964125,1.4840125625,2.23255025,2.05918025,1.29666128125,2.3164755,1.7095725000000002,1.940896,1.84991625,1.6465515000000002,2.1793240000000003,1.8253325
10,0.8135370000000001,2.920528,2.8459499999999998,2.796317,2.893843,2.8264940000000003,2.685008,1.089393,1.201587,1.869766,1.972385,2.2180560000000002,2.6743110000000003,0.40494,2.077042,2.0732399999999997,2.5209580000000003,2.447056,1.672308,0.379821,2.688047,1.622597,1.32212,0.5530750000000001,1.243988,2.530334,2.546155,2.510214,2.452958,2.346755,2.5370410000000003,1.4755475,2.3051405000000003,2.4464550000000003,1.6302965,0.821234,1.4259979999999999,1.22576525,2.1079815,1.6302965,2.19803775,1.01761825,1.019651125,1.4433885,1.7749925625,2.45214925,1.344963125,1.8957090625000002,1.699581,1.732036625,1.8009013125000002,2.621386,2.396605,1.62214490625,2.2591289999999997,1.6798460000000002,2.2412995000000002,1.9079840625000002,2.00294075,2.091261,1.8200155000000002
11,1.4281469999999998,3.210953,3.1112319999999998,3.060724,3.158055,2.862977,2.914745,1.627151,2.256659,1.773957,2.645978,2.337265,2.502217,0.428784,2.40836,1.554066,2.7770010000000003,2.881241,1.198347,1.156995,2.95296,2.641415,2.253475,1.445567,0.973566,2.803544,2.7735819999999998,2.746887,2.6644200000000002,2.400381,2.795353,1.6011829999999998,2.1747095,2.5869815,2.154694,1.536359,1.6550125,1.8455265,2.705765,2.154694,2.406068,1.291739,1.63683675,1.4911065,2.220190375,2.8832445,1.245043,1.9160122499999999,2.3309175,1.93936025,1.8566586250000001,2.82385275,2.49368125,1.6738825625,2.1547894999999997,2.1008644999999997,2.6964325000000002,2.348780375,2.2023634999999997,1.972617,2.145562
