,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.047464,0.041993,0.038029,0.025663000000000002,0.0,0.039881,0.040615000000000005,0.032156,0.0,0.030428999999999998,0.018087,0.038682,0.029352,0.029234000000000003,0.026735,0.020366,0.018420000000000002,0.023143,0.029513,0.027332000000000002,0.023836,0.018565,0.007004,0.011173,0.020736,0.020335000000000002,0.0,0.0,0.0,0.0,0.036018499999999995,0.025121499999999998,0.022114,0.024800000000000003,0.027033500000000002,0.032772,0.015214499999999999,0.025894000000000004,0.037023749999999994,0.031526,0.0133675,0.0235505,0.026261,0.025930500000000002,0.03004,0.007607249999999999,0.018522,0.025813500000000003,0.0038036249999999997,0.035522,0.026131,0.028602000000000002,0.011057,0.033128875,0.012947000000000002,0.02283225,0.032812875,0.0231995,0.0237355,0.025596
7,0.6466839999999999,0.624565,0.52635,0.3993,0.007946,0.707014,0.5303089999999999,0.614655,0.345282,0.6092690000000001,0.302512,0.6330009999999999,0.49294600000000005,0.68335,0.629393,0.336857,0.053936,0.501374,0.738291,0.731152,0.5117889999999999,0.597412,0.253108,0.354022,0.7054210000000001,0.694335,0.529307,0.6450940000000001,0.6223690000000001,0.632207,0.6608345,0.4585835,0.498356,0.5101035,0.6802725000000001,0.553157,0.6158190000000001,0.4421655,0.5935922499999999,0.6705535,0.3186695,0.483125,0.47575599999999996,0.6824442500000001,0.4635385,0.619094,0.35832325,0.6183235,0.632094,0.569789,0.68798725,0.49566212499999995,0.571725,0.6384711249999999,0.53718625,0.4907405,0.5446271874999999,0.5523605,0.6674070000000001,0.3035465
8,1.463495,1.408337,1.376725,1.364009,0.057647,1.605944,1.523709,1.299561,0.220486,1.3816869999999999,1.186038,1.4692239999999999,1.534357,1.55116,0.887641,0.7541140000000001,0.19976,0.889278,1.675879,1.659665,0.6956140000000001,0.616422,0.400909,1.116999,1.6330689999999999,1.580391,1.562042,1.568369,1.5020920000000002,1.54954,1.4527525,1.2427994999999998,0.9902155,1.1526370000000001,1.273653,1.4849765000000001,1.4418895,1.320354,1.41473875,1.36320275,0.472644,0.8208775,1.0268375,1.471796875,1.2971875,1.4719907500000002,0.84904825,1.33304725,1.5201798750000002,1.4526979999999998,1.498135875,1.1591361249999999,1.27929225,1.482949375,1.434947,0.9055465,1.2869374374999998,1.498539,1.260355,0.84236825
9,2.0848380000000004,2.027838,1.752735,1.257087,0.615672,2.304386,2.1720189999999997,1.555702,1.324818,1.982114,1.084754,2.090873,2.213285,2.181832,0.884733,1.2816859999999999,0.648153,0.6868540000000001,2.365164,2.3429670000000002,1.0223769999999999,0.929462,0.187306,1.506134,2.31118,2.193922,2.253547,2.287643,2.162909,2.246212,1.930044,1.320228,1.0932745000000001,1.7317589999999998,1.6138500000000002,1.7807365000000002,2.0725115,1.8390765,1.8413895,1.7719470000000002,0.7502025,1.0832095,1.418694,1.9829345000000003,1.5562960000000001,2.11771025,0.871801,1.72921925,2.202676625,2.0770665,2.0415635,1.4813370000000001,1.6904587500000001,2.01161075,2.04264425,1.0882420000000002,1.66136325,1.7841334999999998,1.5979565,1.2144447500000002
