0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.147272,0.14615899999999998,0.101948,0.024818,0.016242999999999997,0.125947,0.167452,0.131459,0.028823,0.042225,0.015954,0.018532,0.186635,0.205597,0.252293,0.12539,0.050622999999999994,0.047968000000000004,0.035501,0.027687999999999997,0.36998200000000003,0.34874099999999997,0.12842599999999998,0.044537999999999994,0.267297,0.237073,0.47186900000000004,0.36398899999999995,0.198835,0.13936549999999998,0.039155499999999996,0.022532999999999997,0.13633099999999998,0.19663949999999997,0.110684,0.101439,0.153518,0.25167724999999996
1.261088,1.244032,0.58711,0.144822,0.035887,0.67515,1.263039,0.520207,0.17153100000000002,0.5254690000000001,0.023262,0.041073,1.3183040000000001,1.3746969999999998,0.756828,0.412266,0.19976,0.076491,0.29142,0.17843,1.435314,1.1199359999999998,0.210248,0.083555,1.371291,1.478159,1.553216,1.3694000000000002,0.806872,0.8906475,0.189095,0.10370900000000001,0.836677,0.6017454999999999,0.45529050000000004,0.6770955000000001,1.02589625,1.13002375
2.13137,2.1044389999999997,1.888942,0.448463,0.067468,1.2271379999999998,2.137747,1.1208399999999998,0.197679,0.5466380000000001,0.023004999999999998,0.203564,2.231469,2.277402,1.0811110000000002,0.519864,0.24739699999999998,0.221644,0.23452099999999998,0.108749,2.314998,1.797723,0.350351,0.204497,2.190077,1.496367,2.389972,2.369614,1.2118735,1.626105,0.17807299999999998,0.1325735,1.325617,1.00111,0.6722235000000001,1.1494685,1.7134352499999999,1.9978595
2.7254110000000003,2.6059140000000003,2.253797,0.780182,0.15372,2.860296,2.728388,1.6020150000000002,0.68279,0.797999,0.040706000000000006,0.176103,2.851032,2.880818,2.449052,1.185854,1.098317,0.874268,0.46084800000000004,0.146258,2.930407,2.363648,0.270158,0.30183499999999996,2.7005169999999996,1.507913,2.969232,2.950416,1.5383325,2.1637130000000004,0.6222875,0.418255,1.9556325,1.3327415,0.9782937500000001,1.502376,2.191597,2.5570645
3.073461,2.995382,1.2028979999999998,0.545436,0.22675,3.272021,3.0858290000000004,2.647192,0.432331,1.052191,0.155091,0.1527,3.228373,3.2206819999999996,2.238259,1.615086,0.47434,0.963051,0.627131,0.190592,3.287496,3.006219,0.6595359999999999,0.307124,3.007991,3.0422249999999997,3.31241,3.287715,1.739044,2.8603265,0.332466,0.3295405,2.3442735,1.6566715,1.03429225,1.7275615,2.4741217499999997,3.07402075
3.2112350000000003,3.158528,1.3325619999999998,0.969346,0.533582,3.434253,3.205001,2.9819989999999996,0.386169,0.460221,0.313092,0.39460500000000004,3.3504769999999997,3.333182,2.083425,1.556961,0.8308869999999999,0.8235030000000001,0.533609,0.338015,3.404068,3.1136019999999998,0.754848,0.7238559999999999,3.137829,3.098494,3.411505,3.3641799999999997,1.8710415,3.096617,0.5844509999999999,0.4598755,2.3840980000000003,1.918729,1.1654585,1.9420294999999999,2.6376057499999996,3.2303984999999997
