0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.111045,0.100968,0.06547499999999999,0.10059,0.10367799999999999,0.10112399999999999,0.004377,0.041518,0.090075,0.087923,0.083958,0.07974200000000001,0.070284,0.075613,0.072021,0.06837900000000001,0.059766,0.045623,0.020460000000000002,0.018767,0.009839,0.042574,0.047651000000000006,0.043507,0.044039999999999996,0.037193,0.044947,0.046755000000000005,0.037537999999999995,0.039754,0.0306705,0.04035,0.0446645,0.045372,0.0881015,0.0789,0.051903,0.07359249999999999,0.0558875,0.041715749999999996
0.745715,0.738032,0.035895,0.74149,0.77161,0.742777,0.033002000000000004,0.349506,0.750907,0.7663139999999999,0.787004,0.761869,0.722692,0.760009,0.7976420000000001,0.792074,0.737204,0.61874,0.32661399999999996,0.457245,0.167319,0.706704,0.746863,0.718521,0.752942,0.709708,0.8472759999999999,0.862309,0.793255,0.813112,0.5819745000000001,0.7141145,0.7845065,0.524653,0.7507495,0.804012,0.745073,0.7450654999999999,0.805377,0.45619224999999997
1.5426300000000002,1.528192,0.6013719999999999,0.9188780000000001,1.5929870000000002,1.559277,0.055661999999999996,1.2284179999999998,1.572718,1.592497,1.626192,1.5560209999999999,1.527559,1.5787660000000001,1.630519,1.614839,1.55474,1.017943,0.7462409999999999,0.725367,0.470068,1.506949,1.587532,1.54199,1.5978160000000001,1.527307,1.777711,1.7567380000000001,1.654375,1.695395,1.116158,1.5346484999999999,1.6318435,1.1368999999999998,1.248822,1.6496840000000002,1.576278,1.5674885,1.662957,1.01877825
2.1716930000000003,2.15522,0.805687,2.1634879999999996,2.2330479999999997,1.448424,0.2014,1.446579,2.202708,2.2314070000000004,2.254393,2.134529,2.161552,2.1958029999999997,2.261215,2.1933580000000004,0.719834,1.103905,1.216191,0.5972649999999999,1.623018,2.209569,2.2496509999999996,2.180182,2.216572,2.194658,2.464248,2.395789,2.298433,2.329406,1.4034170000000001,2.18742,2.3026790000000004,1.6888714999999999,2.1796454999999995,2.283741,1.4682030000000001,2.2066149999999998,2.2953105000000003,1.9148165
