0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32770699999999997,0.274353,0.049114,0.235374,0.0041340000000000005,0.006036,0.254637,0.041997,0.212256,0.213211,0.208155,0.15537,0.126018,0.20566,0.184485,0.0,0.089891,0.149885,0.160721,0.157173,0.021449000000000003,0.017696999999999997,0.013124,0.0,0.0,0.11618300000000001,0.11042400000000001,0.074624,0.012523999999999999,0.012525,0.023861,0.1757785,0.068816,0.0240165,0.202261,0.020779,0.07909000000000001,0.16283175,0.0840075,0.170829,0.13379850000000001
1.1556089999999999,1.250004,0.30743200000000004,1.1730099999999999,0.074011,0.028026,1.32084,0.081663,1.310845,1.3361910000000001,1.333281,1.192445,1.163206,1.407507,1.34938,0.01721,0.159839,1.231178,1.282778,1.260147,0.639077,0.429137,0.191388,0.137707,0.198886,1.224137,1.206914,1.102676,0.66588,0.150415,0.74238,1.1985735,0.9316070000000001,0.0548445,1.2760090000000002,0.5857585000000001,0.6529,1.21487575,0.6224345,1.3047635,1.2335305
1.865829,2.028915,1.5149780000000002,0.606306,0.417545,0.178607,2.092531,0.198685,2.0805749999999996,2.124282,2.086945,1.983848,2.003393,2.2598939999999996,2.1768110000000003,0.070312,0.923409,2.0400050000000003,2.115993,2.084415,1.420869,0.15203,0.514535,0.220586,0.7075520000000001,2.037728,2.066122,1.941526,1.432766,0.499687,0.302242,1.322017,1.7292985,0.18864599999999998,2.066268,0.227136,1.1182064999999999,1.6810110000000003,1.101039,2.1306130000000003,2.0752685
