,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014282999999999999,0.0,0.025745999999999998,0.024733,0.027422000000000002,0.028120000000000003,0.030783,0.003134,0.010006000000000001,0.029102500000000003,0.0123665,0.0,0.0,0.0,0.0,0.0,0.029451500000000002,0.0,0.014060000000000001,0.014551250000000002,0.0050030000000000005,0.007030000000000001,0.0025015000000000003,0.007030000000000001,0.014551250000000002,0.0,0.0,0.0153915,0.007030000000000001,0.00618325,0.0,0.014725750000000001,0.00769575,0.0,0.022247000000000003,0.0,0.017575,0.003091625,0.011123500000000001
7,0.132692,0.440942,0.377697,0.499258,0.470006,0.451158,0.230242,0.0,0.033644,0.11897100000000001,0.09879,0.516912,0.5242279999999999,0.57374,0.538141,0.21126499999999998,0.33796,0.275174,0.10138599999999999,0.690879,0.732913,0.684619,0.29876600000000003,0.117295,0.760301,0.672577,0.644775,0.7327290000000001,0.691594,0.079595,0.21766,0.6681845,0.395774,0.5275265,0.2944885,0.18698199999999998,0.285696,0.4971169999999999,0.7121615000000001,0.49464949999999996,0.708674,0.5978555,0.3957,0.45996950000000003,0.5432895,0.497185,0.58265075,0.5123217499999999,0.46056050000000004,0.571376,0.603966,0.34513125,0.25287675,0.4155662500000001,0.520691,0.37888425000000003,0.61978025,0.37752450000000004,0.614957,0.232051125,0.530361125
8,0.456661,1.455313,0.325401,1.533106,1.4606489999999999,1.2976590000000001,0.9415330000000001,0.343,0.14240199999999997,0.327582,0.446613,1.479856,1.473969,0.8430230000000001,0.706036,0.548858,0.829168,0.59437,0.26412599999999997,1.74206,1.767998,1.6691559999999999,0.5121290000000001,0.023010000000000003,1.7738900000000002,1.427192,0.31512,1.6863569999999999,0.463791,0.331668,0.102221,0.3894555,0.877387,1.092946,0.8941155,0.5204915,0.8623874999999999,1.467309,1.0750739999999999,1.0018475,1.6777564999999999,0.74120075,0.47262200000000004,1.1133072499999999,1.107341,1.2700719999999999,0.92838225,1.2801274999999999,1.3417965,0.8807250000000001,1.60543125,0.88575125,0.72148675,0.701328,1.170687,1.0172395,0.6350902500000001,1.117956,1.4782145,0.606666625,1.045201625
9,1.038751,2.279293,0.210987,2.324281,2.2369850000000002,1.2485920000000001,0.7427910000000001,0.084762,0.395652,0.407118,1.416301,0.8007799999999999,2.2452829999999997,2.316059,2.2590700000000004,0.899366,1.258392,0.9172830000000001,0.584526,2.5581799999999997,2.500819,1.790293,0.627568,0.9307859999999999,2.4976149999999997,1.812895,0.661727,2.394871,0.30758800000000003,0.684962,0.680243,0.48465749999999996,1.1100065,1.5299250000000002,1.3220515000000002,1.166792,1.4107555,2.2411339999999997,1.3512295,1.7538310000000004,2.092582,1.0072912500000002,1.498151,1.4959740000000001,2.0281655,1.75166875,1.3628957499999999,1.8855295,1.6504854999999998,0.7780900000000001,2.2084315,1.216029,1.1107087500000001,0.8791737500000001,1.5075375000000002,1.1363580000000002,0.6313737500000001,1.4862685,2.0732698750000003,0.8115735,1.455333375
10,1.372073,2.8518440000000003,0.582129,2.8542579999999997,2.7729920000000003,2.1691819999999997,1.264364,0.160203,0.531153,0.39478500000000005,2.092937,2.821341,2.817134,2.8514720000000002,2.820865,1.3571980000000001,1.401174,1.418259,1.253512,3.15911,2.986788,2.088959,1.192385,2.981832,2.999691,2.236923,2.151195,2.873487,0.307073,0.777334,1.093814,1.229134,1.315854,2.821103,1.5838885000000003,1.755598,2.013252,2.795063,1.59028,2.4950235,2.481223,2.0251185,1.9726430000000001,1.9192105000000002,2.5658765,2.2472374999999998,2.0120985,2.808083,2.2117370000000003,1.2381274999999998,2.6677405,1.4498712500000002,1.4705432500000002,0.9925325,2.00555975,2.0427334999999998,1.2336307499999999,1.8978127500000004,2.56036225,0.9223281250000002,2.042737375
11,1.404789,3.1933409999999998,0.598764,3.15102,3.103981,2.669857,0.640831,0.602151,0.588601,0.882275,2.582154,2.028775,3.1600949999999997,3.18518,3.137845,2.052036,1.4960550000000001,1.630628,2.212679,3.518185,3.269892,1.907047,1.34829,3.348873,3.2715569999999996,2.465966,1.080707,3.101369,0.30172899999999997,0.45696,3.001314,0.691218,1.6741205,2.58331,1.993128,2.106391,2.6583300000000003,3.1320379999999997,1.701549,2.903851,2.504208,1.637264,3.093247,2.278122,3.305716,2.5812690000000003,1.9116279999999999,2.857674,2.079508,1.485793,2.827614,1.83362425,2.022582,1.291912,2.294887,1.6120705,1.0885055,2.036318,2.8413190000000004,1.357949625,2.1409232499999997
