,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.111045,0.100968,0.06547499999999999,0.10059,0.10367799999999999,0.10112399999999999,0.004377,0.041518,0.090075,0.087923,0.083958,0.07974200000000001,0.070284,0.075613,0.072021,0.06837900000000001,0.059766,0.045623,0.020460000000000002,0.018767,0.009839,0.042574,0.047651000000000006,0.043507,0.044039999999999996,0.037193,0.044947,0.046755000000000005,0.037537999999999995,0.039754,0.055481499999999996,0.0636965,0.060618,0.080793,0.056663000000000005,0.07553850000000001,0.03712425,0.0554035,0.08833125,0.0722375,0.042688750000000004,0.033251,0.07471649999999999,0.071321,0.090355,0.0568955,0.0669205,0.08964549999999999,0.07018,0.066167125,0.056271749999999995,0.0536865,0.050805,0.0400095,0.042103375,0.0400095,0.05601525,0.07359249999999999,0.0561885,0.063999
7,0.745715,0.738032,0.035895,0.74149,0.77161,0.742777,0.033002000000000004,0.349506,0.750907,0.7663139999999999,0.787004,0.761869,0.722692,0.760009,0.7976420000000001,0.792074,0.737204,0.61874,0.32661399999999996,0.457245,0.167319,0.706704,0.746863,0.718521,0.752942,0.709708,0.8472759999999999,0.862309,0.793255,0.813112,0.455048,0.7543660000000001,0.6893745,0.71370325,0.8196749999999999,0.718197625,0.4561465,0.4526755,0.7304873125,0.7282765,0.4427583125,0.49349699999999996,0.4114495,0.5461415000000001,0.7499505,0.7206064999999999,0.6174934999999999,0.7658095,0.72562175,0.6042839062500001,0.61811675,0.77584175,0.8334754999999999,0.446470375,0.39613215625,0.446470375,0.6220561875,0.7450654999999999,0.5878272499999999,0.769973
8,1.5426300000000002,1.528192,0.6013719999999999,0.9188780000000001,1.5929870000000002,1.559277,0.055661999999999996,1.2284179999999998,1.572718,1.592497,1.626192,1.5560209999999999,1.527559,1.5787660000000001,1.630519,1.614839,1.55474,1.017943,0.7462409999999999,0.725367,0.470068,1.506949,1.587532,1.54199,1.5978160000000001,1.527307,1.777711,1.7567380000000001,1.654375,1.695395,1.0146725,1.5717765,1.2983545,1.41327325,1.696275,1.4704161249999999,0.87001975,0.99913,1.5148465624999998,1.535091,0.9702420624999999,1.0831715,1.113782,1.3938475,1.5421065,1.5347745,1.00102475,1.5858765000000001,1.4271877499999999,1.27805928125,1.009483875,1.52754625,1.736993,0.9486278749999999,1.0993300312499998,0.9486278749999999,1.2895734375,1.5674885,1.2747235,1.6120040000000002
9,2.1716930000000003,2.15522,0.805687,2.1634879999999996,2.2330479999999997,1.448424,0.2014,1.446579,2.202708,2.2314070000000004,2.254393,2.134529,2.161552,2.1958029999999997,2.261215,2.1933580000000004,0.719834,1.103905,1.216191,0.5972649999999999,1.623018,2.209569,2.2496509999999996,2.180182,2.216572,2.194658,2.464248,2.395789,2.298433,2.329406,1.5357210000000001,2.19209,1.649854,1.902537,2.328803,2.0320445,1.066493,1.889119,1.7402342499999999,2.167701,1.82753125,1.9759105000000001,1.53004,1.4475015,2.1448745000000002,2.170867,2.0696992499999998,2.2144255,1.8921915,2.020978375,1.5868021249999997,2.0228215,2.3965255,1.75760475,1.637055125,1.75760475,2.0094098750000002,2.2066149999999998,1.853294,2.2354825
